Trial Number, Time, Voltage, Actualx, Actualy, EncoderX, EncoderY, AccelDispX, AccelDispY, GaussX, GaussY, Kalmanx, Kalmany, Lidar
1,2.396030742496652,8.01,1.524,61.4172,-6.45049556561,61.3758538529,5.70839994521,60.278270963500006,0.0,0.0,1.7132817858199998,3.64834460192,-2.0
2,2.8636224523150435,7.00,0.762,72.91069999999999,-4.8421849402,73.1725262791,-5.1344511142,72.7959820016,0.0,0.0,1.50500352968,4.443903125479999,1.0
3,2.3278798065472524,7.96,0.762,59.2836,-4.80685481019,59.3095004621,-1.29681823528,61.430618277399994,0.0,0.0,0.0929195952695,5.55478304784,-1.0
4,2.808386710356404,7.81,1.016,73.152,-6.9687846358500005,73.0232287935,5.07278585118,67.2688273417,0.0,0.0,1.7656669659,3.3241868102,0.0
5,2.3368141378579828,7.94,0.9652000000000001,60.198,-5.40815768546,60.295596814700005,-1.9593184613,62.306935928899996,0.0,0.0,0.706291260046,4.00277966656,0.0
6,2.632293245220014,7.92,0.9652000000000001,67.818,-4.65538210408,62.1997156119,9.12876270555,57.46522959919999,0.0,0.0,2.69456573414,3.82440211512,-0.5
7,2.1795320455289042,7.91,0.9398,56.388,-4.99309277293,56.612010129699996,12.0930951275,49.5708083385,0.0,0.0,1.09058293441,4.2511043743,-2.0
8,2.1903947928988123,7.92,-0.762,51.308,3.6680062705400003,52.16087353299999,77.9028760984,95.05729440389999,0.0,0.0,13.7055890003,3.74141611791,-1.0
9,2.7806234950617634,7.92,0.508,70.866,-4.83516014213,62.9342178683,1.79961842001,58.457351448,0.0,0.0,-0.638272027466,2.7827240287499997,-0.5
10,2.84465967745351,7.93,-1.016,71.33590000000001,-1.44837789662,63.6942255321,12.9244171518,58.2835785445,0.0,0.0,2.83967655595,3.22519220475,-0.5
11,2.3663194036943667,7.8,0.0,60.452000000000005,-1.38954823105,55.143766973599995,9.31931264621,51.2354401018,0.0,0.0,0.5391908168790001,3.7492030378099996,-0.5
12,2.7709707895842004,7.91,1.7272,69.596,-6.22085870605,64.0999201897,0.6017728388029999,60.7971798386,0.0,0.0,-1.4114904742799999,2.98231522406,-0.5
13,2.4661550129468695,7.78,-1.27,61.214000000000006,0.861846345897,58.098098137099996,5.09519071256,56.494823263899995,0.0,0.0,2.80628212128,4.4298720584,-2.0
14,2.600938964410828,7.92,3.81,72.771,-7.14030777421,65.2041297914,-8.37242422021,66.97220192249999,0.0,0.0,-1.38481761823,4.14942605475,-8.5
15,2.289194624317264,7.83,-0.508,57.658,-1.6510094538500002,54.405607282400005,1.2771411417,53.93072665139999,0.0,0.0,-0.8318231568169999,4.20461583485,-2.0
