Trial Number, Time, Voltage, Actualx, Actualy, EncoderX, EncoderY, AccelDispX, AccelDispY, GaussX, GaussY, Kalmanx, Kalmany, Lidar
1,2.0576359411120153,8.0,0.254,53.771800000000006,-1.97847939644,50.1940309261,-2.29636278535,47.3232109042,0.0,0.0,-2.9318186037,5.07203254799,0.0
2,2.9090581544333465,7.81,2.032,78.486,-8.44812868157,76.5868304443,16.267859537099998,66.5319232507,0.0,0.0,9.20604810933,3.26005710725,-0.5
3,2.1261358693526295,7.96,1.9304000000000001,56.895999999999994,-5.69792219689,51.2510370367,0.0408844888107,51.797087669499994,0.0,0.0,-4.86571770937,4.75561615232,-1.0
4,2.8152839611178986,7.86,0.762,73.152,-5.25502397191,73.2132777288,15.1526674389,61.796560462100004,0.0,0.0,3.533334059,2.21347225791,1.5
5,2.286816359746287,8.04,1.016,59.69,-3.86380235798,53.6907381537,1.40281468638,50.6631363076,0.0,0.0,-2.5568206524900003,2.9417710598299998,-0.5
6,2.9631982776616534,7.88,2.8448,79.756,-8.10694279592,73.0804021759,-7.13417170625,72.0766312626,0.0,0.0,-3.49271027172,3.4504076174800002,2.0
7,2.430266625704025,8.01,2.159,64.77,-5.130668141179999,57.6477558937,9.33227029675,55.7828152923,0.0,0.0,2.06689268283,3.31480301818,0.5
8,2.0797384470287157,7.99,1.016,54.229000000000006,-3.5292536522999995,52.6149389943,0.640097449229,52.18775891239999,0.0,0.0,-1.5232394519799999,5.23350749485,-2.0
