Trial Number, Time, Voltage, Actualx, Actualy, EncoderX, EncoderY, AccelDispX, AccelDispY, GaussX, GaussY, Kalmanx, Kalmany, Lidar
1,2.286330733841063,7.53,-1.143,52.197,-1.33464384694,44.5415743247,6.0691097945,44.5665892834,0.0,0.0,0.431250287718,2.77971161867,3.5
2,1.0134208373769258,7.64,-0.254,21.971,-0.637176431757,22.2013657512,1.17094055762,21.3489047887,0.0,0.0,0.989008099735,7.663354463660001,-2.0
3,2.7717727153517826,7.63,0.0,65.786,-3.67335390783,63.103130682099994,6.81694125845,56.87228481460001,0.0,0.0,5.088864832860001,2.06844797483,2.0
4,2.3034708242140787,7.54,0.0,54.864000000000004,-1.9204065722,55.0136045933,6.3044331928499995,46.623608122,0.0,0.0,-2.2761967687599998,4.892729539259999,0.5
5,1.6898772704200369,7.77,-0.5334,38.7604,-0.921202613246,38.8844039215,-4.07548069132,40.6748300393,0.0,0.0,-0.44174786187,6.75933165388,0.0
6,3.416112395261905,7.7,0.127,83.43900000000001,-6.300398314940001,83.89979112969999,7.111880930840001,71.2444720512,0.0,0.0,3.8368246401399997,2.75604842996,0.5
7,1.9730413406718,7.49,-0.635,46.0756,-0.704526648006,42.554888852,3.16421645802,39.1280820006,0.0,0.0,0.9091881950110001,3.25995798095,-1.5
8,2.6449889226634293,7.49,-1.4224,61.1124,-0.5709529477440001,61.4865619689,15.155965118100001,47.9587339141,0.0,0.0,1.4674784806999999,1.06969098199,0.0
9,2.261675343929121,7.5,-1.3970000000000002,66.802,-1.84607512826,59.771667578999995,2.03282696016,61.57143657739999,0.0,0.0,2.3849486366,3.21619176962,-1.0
10,3.901740376550296,7.49,-4.572,87.884,3.39177474849,82.6517066039,2.0744052481199997,81.1141170791,0.0,0.0,1.23762328763,3.86419354475,-1.5
11,3.4625913905813497,7.46,-2.2352,81.28,0.747550536251,79.81269590570001,-3.3144004722100004,81.6888532494,0.0,0.0,2.97758090715,3.5468095722900004,-2.5
12,1.9785175469452434,7.5,0.0,47.0408,-1.24669193522,41.9670095112,1.08769274092,41.6486848982,0.0,0.0,2.62637834012,5.58317539814,-3.0
13,1.9613670113703752,7.47,-0.5334,44.6786,-0.7099715563560001,45.1662889228,1.9034178695300001,41.239108909900004,0.0,0.0,-2.28490640215,3.8224682477,-0.5
14,2.6868555568047663,7.46,-1.7779999999999998,62.4332,0.0328252350716,62.678332681899995,0.919196093953,61.589327343300006,0.0,0.0,0.0298415510802,1.18174891524,0.0
15,3.6127756278344965,7.45,-2.032,83.82000000000001,-2.20058470842,84.593993106,24.403892019599997,64.2291609599,0.0,0.0,5.70549295926,2.14638185331,-1.0
16,3.075181839042043,7.47,-1.7779999999999998,72.136,-1.5616436005199998,72.4885250619,6.965236258760001,67.72196022840001,0.0,0.0,0.957169469331,2.38063009217,0.0
17,2.072258828329983,7.36,0.0,49.885600000000004,-2.3343013147100002,46.134079778300006,5.38506264301,42.9254576358,0.0,0.0,4.34041684627,4.73679377593,-1.0
