Trial Number, Time, Voltage, Actualx, Actualy, EncoderX, EncoderY, AccelDispX, AccelDispY, GaussX, GaussY, Kalmanx, Kalmany, Lidar
1,2.3814435125013644,84.0,-0.4572,55.575199999999995,-3.04890414557,56.0062340387,3.4944943525900003,48.7248901098,0.0,0.0,0.327009971628,2.95195523946,-1.0
2,3.9333284532458253,7.83,1.6256000000000002,89.1032,-10.5776685349,95.1504990329,4.36001561779,94.5064691388,0.0,0.0,1.31564183951,2.2666308051199997,-1.5
3,2.2698397583244505,7.8,-0.6096,55.575199999999995,-2.32106537383,55.8778218539,11.611073833099999,47.462541595699996,0.0,0.0,-1.7763231425700001,2.251570157,-0.5
4,3.624669450458852,7.69,1.6002,91.05900000000001,-9.511069884120001,87.2481384423,-5.16469106295,88.89802374780001,0.0,0.0,1.40934749212,1.4002796503200001,0.5
5,2.601458646585735,7.68,-0.2794,62.7126,-2.90848496721,63.022792915900006,-9.05456629321,60.73542610729999,0.0,0.0,-3.47923316626,2.72297425895,-1.5
6,1.9766838407401424,7.78,-0.3048,47.752,-1.52197132475,47.303737858599995,2.32761397214,47.0215891112,0.0,0.0,2.3760433280399997,5.17667745108,0.0
7,1.0939799465919144,7.69,0.0,26.009600000000002,-0.8692378864660001,26.150684035799998,-0.012821330823300002,25.5919406655,0.0,0.0,-1.53109300231,6.54631326641,-0.5
8,1.425288753427671,7.66,0.0,34.671,-1.5625772259100001,34.279914535799996,-2.5906113034400002,34.4988778768,0.0,0.0,-1.2869705223,8.43067042441,-1.5
9,3.586215709976229,7.68,1.524,89.027,-9.18844106397,89.01367971089999,36.8567751321,75.7293581783,0.0,0.0,1.64344916,3.10302568337,1.5
10,2.9681030801117685,7.76,-0.7112,73.6092,-3.88829463233,73.84767181870001,26.9057072567,66.1630660741,0.0,0.0,4.00369636862,3.05980038876,1.5
11,1.011255272503482,7.65,-0.9652000000000001,23.5966,0.411568433141,20.3693921943,0.813516991983,20.2392839017,0.0,0.0,1.10002730208,6.73370479883,0.0
12,3.0893173745726634,7.76,-0.6096,76.0476,-4.00501606409,76.2551209307,2.92796513381,72.795991836,0.0,0.0,-0.09702794566839999,0.727351110253,0.0
13,1.0594784563742348,75.0,-0.3048,22.961599999999997,-0.704251762548,23.2169433238,-1.50455415352,23.0741012592,0.0,0.0,-2.0221386162,9.15443149261,-1.5
14,3.59082939596874,7.64,0.0,90.297,-6.25664085722,88.09312045360001,1.34873448962,89.9867477568,0.0,0.0,0.5411549433439999,3.23637336215,1.0
15,3.6950117487541427,7.64,-0.635,89.9668,-6.283380935639999,83.95843583919999,-8.56739888903,89.7811533084,0.0,0.0,-2.4278586997100002,3.0362327947,-0.5
16,3.7543019388252747,7.76,-3.5052,88.3412,0.12435938083699999,88.76231793,-11.2894009266,101.78593357000001,0.0,0.0,-1.90105615443,3.9575427889899997,-1.5
17,2.738086470522024,7.66,-1.524,65.6336,-0.45836123857399996,61.1874270192,-1.9749681805500001,63.9278647722,0.0,0.0,-1.6373794182499999,3.34815514528,2.0
18,3.5382474204047627,7.63,0.254,86.09330000000001,-6.201705275459999,86.29897885060001,-0.43611176737999996,81.17885571480001,0.0,0.0,-0.792145044934,1.86224957363,-0.5
19,2.4484102287339664,7.61,-0.8636,60.0456,-2.1740387803,60.119507302200006,6.50663629843,52.7671390721,0.0,0.0,0.610900609755,2.5579318524,-1.0

