trialNumber,iteration,time,leftMotorCount,AccelBind.distance[0],E.x,leftMotorPower,deltaLeftMotorCount,deltaAccDispX,deltaEncDispX,rightMotorCount,AccelBind.distance[1],E.y,rightMotorPower,deltaRightMotorCount,deltaAccDispY,deltaEncDispY,pidOut,lidarDistance,deltaLidar
1,1,1520053594,0,-2.29E-06,0,0.6,0,-2.29E-06,0,0,-1.29E-05,0,0.4,0,-1.29E-05,0,-0.15,-1.5,-1.5
1,2,1520053594,0,-1.47E-05,0,0.700001597,0,-1.24E-05,0,0,-2.34E-05,0,0.299998403,0,-1.06E-05,0,-0.250001597,-2.5,-1
1,3,1520053594,0,-4.30E-05,0,0.700705221,0,-2.83E-05,0,0,6.69E-05,0,0.299294779,0,9.03E-05,0,-0.250705221,-2.5,0
1,4,1520053594,4,-0.000109245,-2.09E-06,0.751378008,4,-6.62E-05,-2.09E-06,7,0.001487413,0.000647392,0.248621992,7,0.001420501,0.000647392,-0.301378008,-3,-0.5
1,5,1520053594,25,-0.000139777,3.80E-07,0.752186147,21,-3.05E-05,2.47E-06,25,0.002985959,0.002942704,0.247813853,18,0.001498546,0.002295311,-0.302186147,-3,0
1,6,1520053594,58,-0.000223058,-1.27E-05,0.752984762,33,-8.33E-05,-1.31E-05,61,0.007954589,0.00700362,0.247015238,36,0.00496863,0.004060916,-0.302984762,-3,0
1,7,1520053594,103,-0.000419206,-6.80E-05,0.753784668,45,-0.000196147,-5.53E-05,113,0.01523469,0.012712206,0.246215332,52,0.007280101,0.005708586,-0.303784668,-3,0
1,8,1520053594,163,-0.000481794,-0.000151855,0.704592897,60,-6.26E-05,-8.38E-05,177,0.019580996,0.020009642,0.295407103,64,0.004346305,0.007297435,-0.254592897,-2.5,0.5
1,9,1520053594,234,-0.000553797,-0.000275196,0.655259497,71,-7.20E-05,-0.000123341,252,0.029573961,0.028601465,0.344740503,75,0.009992966,0.008591823,-0.205259497,-2,0.5
1,10,1520053594,315,-0.000569137,-0.000455071,0.705794809,81,-1.53E-05,-0.000179875,338,0.040858646,0.038428464,0.294205191,86,0.011284685,0.009827,-0.255794809,-2.5,-0.5
