Trial Number, Time, Voltage, Actualx, Actualy, EncoderX, EncoderY, AccelDispX, AccelDispY, GaussX, GaussY, Kalmanx, Kalmany, Lidar
1,1.615543660127441,7.83,0.0,41.147999999999996,-1.21149379592,38.0432604873,-0.890858548749,36.022736988,0.0,0.0,-3.46461801057,5.91016053442,-3.0
2,2.7080642533786015,7.82,-0.762,69.088,-1.91395997445,69.5111013482,8.28837275132,59.3776825685,0.0,0.0,2.54802176888,3.4928127128299997,-3.0
3,1.3346712241305916,7.92,0.254,33.655,-0.983443478279,26.837517855999998,0.485472647473,26.316499720499998,0.0,0.0,-2.34961142968,8.164206468149999,-3.5
4,3.816936904982856,7.79,1.4731999999999998,100.33,-8.75838606354,100.44608791600001,15.0272679903,95.8917861707,0.0,0.0,1.13924320619,4.0020055042100005,-0.5
5,3.354136845252758,7.79,1.9812,90.424,-10.0557448429,90.43462962299999,26.599692239299998,68.5567524054,0.0,0.0,-1.12960393713,1.8255942804099998,-1.0
6,3.7583642213711177,7.98,1.524,99.187,-8.599988149689999,99.4285108197,28.928133447999997,71.4773452087,0.0,0.0,5.50631782265,2.34038641397,-2.5
7,3.22680621136336,7.88,2.286,103.12400000000001,-10.1232348885,95.1102715719,-0.796785067129,93.0003231986,0.0,0.0,-2.05046355607,2.3811363794,1.0
8,2.123302616618481,7.79,0.508,55.88,-3.79468979192,56.043917572400005,12.3032437248,50.1545828405,0.0,0.0,0.492067641454,4.45163736787,-1.5
9,1.7208473347857483,7.89,0.5842,44.196,-2.2050341702300003,44.5783567906,-4.73914836661,43.2213305369,0.0,0.0,0.256825123782,5.93602958684,-3.0
10,2.7423794943536177,7.89,1.27,73.66,-7.303997848750001,73.8169041361,-7.38156422105,65.2624711653,0.0,0.0,-1.75556203884,2.92850977073,-2.0
11,2.5454470241245897,7.75,-4.572,73.27900000000001,5.01273309712,74.242065074,-1.2542267673999998,69.8054710465,0.0,0.0,-1.16922456517,4.40983871191,34.0
12,1.6512931438023288,7.75,0.0,42.164,-2.02033544819,42.6433126161,7.07601476857,37.2988372538,0.0,0.0,-0.9178886915729999,5.85011667296,-2.0
13,2.9634462277401115,7.76,0.0,78.232,-4.39853947712,76.5871141637,17.0907432857,64.1273267385,0.0,0.0,7.24933008645,2.41536952056,-0.5
14,1.1022509466406905,7.77,0.4318,27.94,-0.112893818258,22.752635227000003,0.9082902505530001,22.9473407291,0.0,0.0,0.559099464146,6.79325859139,-3.0
15,1.7521753069554848,7.77,0.0,44.602399999999996,-1.6246346701399998,37.781113587499995,-0.754132075782,37.8982672934,0.0,0.0,-3.05728789058,6.416160219149999,-1.0
16,2.434202530653538,7.87,1.016,64.77,-4.19075467396,56.481874736799995,-2.80988302772,55.1222852051,0.0,0.0,0.229805635524,2.87973430904,-1.0
17,2.010570261658858,7.87,0.0,52.705,-2.55216822472,52.950606602899995,3.75259165377,49.472892677699996,0.0,0.0,0.697459672307,5.72862347227,-1.5
18,2.6876511730880255,7.87,1.27,72.39,-6.01958059804,72.8078729142,-6.51640613024,66.54558105129999,0.0,0.0,-2.43089298741,2.91657769639,-1.0
19,3.9216087741359424,7.74,0.508,103.5558,-9.11704946333,103.704502222,20.4223888186,108.000217056,0.0,0.0,5.83003944041,3.7730638338,0.5
20,3.053159024547111,7.76,0.0,79.756,-4.97625737245,80.1563419928,0.0192216739266,74.03433369209999,0.0,0.0,-3.42401939253,3.3615060534100003,-1.0
21,3.466368888135666,7.85,1.3970000000000002,90.67800000000001,-10.307748285699999,90.8152698882,22.4603767901,75.4081185592,0.0,0.0,0.931604346561,2.47837899112,-1.5
22,3.8018941896828315,7.79,1.3208,101.6,-9.8807196281,98.0134666292,23.7115172392,85.8400683338,0.0,0.0,4.79005165384,3.06496669647,0.0
23,2.4361092569171863,7.72,-1.016,62.7126,-1.03937461378,63.300011755,-0.160535056372,58.5595826621,0.0,0.0,-4.072324001089999,2.76573832363,-4.0
24,3.3466558737363923,7.84,0.508,86.106,-7.43205248978,82.9185469242,17.537955078699998,75.27142543539999,0.0,0.0,4.51317681121,2.76571761973,-0.5
25,3.3225873658619327,7.85,1.1176,88.5952,-7.28541143343,82.9235604524,8.50767875481,76.8224959436,0.0,0.0,-0.127611998174,2.00894053134,-0.5
26,1.217091687201491,7.71,0.0,31.242,-0.7778404211309999,27.1951170099,-0.590337754511,27.0378044008,0.0,0.0,-1.7444431001400003,7.95384529344,-3.5
27,2.189660532771117,7.72,0.508,57.15,-2.34910700597,54.9164236052,6.40479769484,50.075921642400004,0.0,0.0,3.74634721657,3.03251547206,-1.0
28,3.0570092591834266,7.82,1.524,80.39099999999999,-9.41681512755,80.4774903766,-3.32895152544,79.6510722768,0.0,0.0,-0.442545154627,3.12617368116,0.5
29,2.5806837830213527,7.82,0.0,61.569599999999994,-3.6456388527100003,61.7959007608,12.1119482794,54.16427671900001,0.0,0.0,1.6210058825200002,4.47556438236,-1.0
30,2.427856266055305,7.81,1.27,64.51599999999999,-6.13334624316,64.7756916692,13.9940061363,57.04182717289999,0.0,0.0,1.36246786488,3.3302455023500004,-0.5
31,3.520367308212629,7.74,0.4572,91.7956,-6.00518503931,90.60794110980001,-1.81686588778,86.0095824024,0.0,0.0,-0.899229909929,2.19099831073,-2.0
32,2.2530671336765042,7.74,-0.127,58.42,-2.59048628184,55.8124121281,4.2734749526,52.73363067220001,0.0,0.0,-0.14432583579900002,5.52061433482,-0.5
33,2.584974031022427,7.84,1.3716000000000002,66.548,-5.0431349945,59.6616234414,-2.5069470857700002,56.274804102800005,0.0,0.0,-1.7131424840399998,4.26026172873,-1.0
34,3.794889405543073,7.72,0.254,100.48240000000001,-7.73925882315,100.764219771,12.4769539478,84.2424200839,0.0,0.0,4.64539950111,3.63196832168,-0.5
35,2.683801179203602,7.72,1.27,69.46900000000001,-7.59409057473,69.7240736768,1.10879686364,64.1218285118,0.0,0.0,-0.0826602268959,3.6928496466099996,-0.5
36,1.1097069614206478,7.81,-0.1778,27.7114,-0.27144401207700003,23.945796112100002,0.0274284231437,25.2244458949,0.0,0.0,0.815958796038,10.6375443552,-3.0
37,2.194947757675371,7.82,0.508,56.997600000000006,-2.6785491430099997,50.2112219508,7.53986433081,45.9888186493,0.0,0.0,5.63603448193,3.61771565638,-1.5
38,1.0803754921314876,7.71,0.0,26.924,-0.7934261339099999,22.917838411600002,-1.36059902387,23.610404416399998,0.0,0.0,-2.18143398534,8.35531765891,-3.5
39,3.4909423382540923,7.87,0.762,87.1728,-7.922614982360001,81.70072464319999,3.370649586,78.8655057293,0.0,0.0,3.8719225567,2.46291328366,0.0
40,2.334616950846346,7.73,-1.1938,55.372,-0.0239516138704,54.9058877857,-3.1333436473300003,57.6680699694,0.0,0.0,-0.19569633061800001,3.7270331581800002,-3.0
41,2.970798173623296,7.7,0.8889999999999999,77.47,-5.59718206558,71.94244829339999,15.4744151721,59.59372327519999,0.0,0.0,7.488610080499999,2.3927525314,-0.5
42,1.1964411851249392,7.81,0.254,30.175200000000004,-0.765902113417,26.999570461599998,0.135915873021,26.917357028799998,0.0,0.0,1.7725193708299998,9.645481583899999,-2.5
43,3.764738710312467,7.7,0.254,80.2132,-6.24984820328,96.2153656995,6.5937748115699995,86.34458389950001,0.0,0.0,-1.74150402522,2.77396554847,-0.5
44,3.2115699539101326,7.81,0.4572,83.2612,-5.09960876173,79.2602860688,18.928334715000002,68.2247820895,0.0,0.0,7.51654235781,2.6102178450199998,-1.5
45,2.310854577262446,7.68,-6.604,60.705999999999996,14.1285818788,58.7080680681,-1.33857448452,60.5200737267,0.0,0.0,0.641307018873,3.77362831284,8.5
46,1.7760240004626515,7.79,0.508,45.974000000000004,-2.86139815842,42.936670922699996,-3.5929587591399996,43.294161206800005,0.0,0.0,-3.02662375197,3.85030482911,-2.0
47,1.518329226149063,7.79,0.127,36.322,-1.32964615073,36.6465038754,-3.93446946888,34.710759855,0.0,0.0,-1.37706625491,6.82201527026,-4.0
48,3.8768586685370665,7.73,-1.143,96.9772,-2.9999830361399997,97.4641632062,22.0567875198,83.2669282913,0.0,0.0,1.61883580774,2.89610927309,-3.0
49,2.9630072730085137,7.78,0.9652000000000001,76.2,-5.72397398955,76.43947082669999,-11.6596473501,73.85101317600001,0.0,0.0,-2.32321889785,2.88560802942,0.0
50,2.432331905212177,7.78,0.5334,61.899800000000006,-3.4308630663,55.137524621400004,3.5182060696099997,53.9269582369,0.0,0.0,3.66651665884,2.6913145857200003,-1.5
51,1.2257487789960824,7.66,0.0,29.3116,-1.1481590374300001,29.7833027084,-4.86736095279,26.7370227221,0.0,0.0,4.6426923141100005,9.917388163050001,-5.0
52,1.0617708044221206,7.69,-0.1778,24.13,-0.338297465428,24.509990402699998,1.2242514219,23.3121045717,0.0,0.0,-1.71960488929,8.95955570245,-4.5
53,1.5343612448889585,7.8,0.0,37.973,-1.3619537753900002,38.2805979026,6.44723114603,34.6019362791,0.0,0.0,0.113138598279,8.282749320759999,-4.0
54,2.298658130027871,7.79,0.762,58.166,-5.251674346210001,58.489702259800005,-4.48416292801,57.820450369999996,0.0,0.0,-0.7276200692720001,4.16695542367,-2.0
55,3.2424591159938965,7.68,1.7272,83.69300000000001,-8.91335553746,83.9494696179,17.788414868300002,72.8954880275,0.0,0.0,5.6190017995499995,2.16391858309,-1.5
56,1.1189456913391636,7.81,0.0,26.924,-0.9689752922429999,27.1126077387,2.68461655791,25.7489708422,0.0,0.0,-0.9724289144670001,6.6170028708799995,-4.5
57,2.544254441104682,6.0,0.254,62.738,-3.7101807672500002,63.0078575988,13.783358419899999,48.025588078800006,0.0,0.0,-1.3218993963999999,2.42349719134,-1.0
58,3.634655690752668,7.77,1.2446,93.1926,-9.42441880046,93.2612934812,15.2599971272,76.4833093816,0.0,0.0,1.58243148793,4.02411261185,-2.5
59,2.3383202417560014,7.76,-0.3048,57.861200000000004,-2.27339557075,52.67667145229999,2.7126962645600003,48.2808836988,0.0,0.0,0.7260620948309999,4.45401430546,-0.5
60,2.7041641036880493,7.66,0.3302,69.088,-2.18966900831,59.645474628399995,-0.180514911264,59.9649335203,0.0,0.0,1.04033652658,2.63563750369,0.5
61,2.205424623281017,7.78,0.0,57.8358,-2.60013673595,52.251519139900005,-2.1427587640500003,53.205484233099995,0.0,0.0,-2.66967788247,3.28633779782,0.0
62,1.9482581702071857,7.77,0.0,50.292,-1.93530931262,47.2544087471,6.42547068634,43.97979875,0.0,0.0,2.05418887774,3.45825539481,-1.0
63,2.429642614117863,7.79,0.762,62.6872,-3.57319184961,56.338301124199994,5.51582045393,52.4605803699,0.0,0.0,-3.1177631688200003,2.52709673303,0.0
64,1.0075821863468328,7.66,-0.254,23.114,-0.47321548158800003,17.3312996006,1.0756330264,16.681460337500003,0.0,0.0,1.6432216022,10.0505828867,-1.0
65,2.47650686712913,7.78,0.0,63.7794,-3.92690578485,64.09296530579999,14.659251099,53.4002490135,0.0,0.0,0.833908662469,3.03151498856,-0.5
