Trial Number, Time, Voltage, Actualx, Actualy, EncoderX, EncoderY, AccelDispX, AccelDispY, GaussX, GaussY, Kalmanx, Kalmany, Lidar
1,2.5979182776453795,8.14,-0.254,78.486,-3.9444074975100003,71.7444959543,-3.43506424393,72.9682014146,0.0,0.0,-6.19653877742,4.04726780254,1.0
2,2.9364538475950064,7.96,-1.016,69.596,-1.05760653682,68.6485212786,12.0474066319,57.6584447471,0.0,0.0,4.2293887107699994,1.5003652389600002,-1.0
3,0.1413387284985619,7.92,0.0,2.921,-0.0325243666213,2.6717250730199997,0.0524364324485,2.78796272391,0.0,0.0,0.0222583410881,0.215407932052,-2.0
4,1.4226999072435094,8.04,0.254,35.052,-1.30210392416,27.430061296699996,1.45910061206,27.594479772899998,0.0,0.0,-2.96192384725,5.9364288829000005,-2.0
5,1.480831456477299,7.91,-0.508,35.052,-0.7836936510529999,35.1007559314,-4.59197284866,36.581536258199996,0.0,0.0,-1.72293068879,6.08221618397,-1.0
6,1.6597402283244658,7.94,0.127,39.878,-2.00759763863,39.711482428900005,1.8543410535099998,36.4329320692,0.0,0.0,-1.8780490777199998,5.0191757283800005,-0.5
7,1.5997334020514613,7.91,0.0,40.894000000000005,-1.74945199033,36.938877244000004,2.943752579,34.8496799897,0.0,0.0,1.89806161525,6.53949425071,-2.0
8,0.472656828160391,8.03,0.0,10.795,-0.208015510019,9.75554357487,0.22596477709,9.634726208230001,0.0,0.0,-0.49393313127000005,4.26571255209,6.0
9,0.13975828599660314,8.0,0.2286,2.5654,-0.00756737177685,2.43065540157,-0.053333309561800005,2.60969552127,0.0,0.0,0.0255003350869,0.179485655511,-2.5
