Trial Number, Time, Voltage, Actualx, Actualy, EncoderX, EncoderY, AccelDispX, AccelDispY, GaussX, GaussY, Kalmanx, Kalmany, Lidar
1,2.520621007530646,7.72,-1.524,56.13400000000001,-0.354479461411,52.9930487823,-4.378112685760001,51.190234164500005,0.0,0.0,-0.173602580286,4.22401072288,-2.0
2,2.554883365499232,7.56,-2.2098,55.5244,1.75412335775,56.0537163913,10.6763256354,45.4671225551,0.0,0.0,6.23429327453,2.09729448001,0.0
3,1.751586794427305,7.67,1.016,44.45,-4.78671130557,44.718340433499996,-3.41041727716,47.3575881211,0.0,0.0,-2.86716974626,7.18972185803,1.0
4,1.7605329792231326,7.64,0.254,42.468799999999995,-3.12223207562,42.834558161000004,-3.92376934935,45.976804905099996,0.0,0.0,-8.57797445043,6.41010007376,-3.0
5,3.0416552673814614,7.64,1.143,73.40599999999999,-7.7694785918100004,73.8089086168,-4.14394111244,74.69402437490001,0.0,0.0,-1.63503623437,2.9336501736700002,-1.0
6,1.3002829690494773,7.71,0.0,26.416,-0.8297985843050001,23.8950277427,-1.9841535024799999,23.9219683524,0.0,0.0,0.7866184364909999,7.066250428989999,-2.5
7,2.64256089810046,7.54,0.0,61.1124,-3.2225774731600003,56.540702078,-0.363953676967,55.7997803895,0.0,0.0,-0.472975628347,2.8588342713099997,-1.5
8,3.4362015455549826,7.53,-2.5908,77.978,-0.49453716034899997,73.1701115094,-6.4960812935,77.06141842379999,0.0,0.0,-0.09551604978259999,1.1952995229,-3.5
9,1.863405018490172,7.61,0.0,43.561,-1.9092107344900002,37.6907210311,1.9260897635,34.9431516303,0.0,0.0,0.923776312509,4.79974342168,-0.5
10,1.3519872115528448,7.51,-0.254,30.861,-1.28663945582,30.9623028215,-0.140293994525,30.087443565799997,0.0,0.0,1.58638176584,7.82751714212,-1.5
11,3.9822883624257117,7.62,-2.413,91.05900000000001,-2.28003989473,91.8062331861,34.035270619,85.8277065882,0.0,0.0,5.6977737489999996,3.6746563312199996,-2.5
12,1.4826556145867271,7.63,0.508,35.56,-2.80943851268,35.969820514700004,3.54079839972,34.259345866800004,0.0,0.0,3.05156160571,6.543710126740001,-1.0
13,3.020354759162614,7.62,0.8889999999999999,72.39,-8.21476411788,71.80212742020001,0.276840704065,66.4023337214,0.0,0.0,-2.66337226958,1.94787601293,-1.5
14,2.9528762702623728,7.61,0.0,69.596,-4.90027553954,68.42184499279999,16.1665086295,65.90885716209999,0.0,0.0,1.0646993792100001,3.03315660696,-1.0
