Trial Number, Time, Voltage, Actualx, Actualy, EncoderX, EncoderY, AccelDispX, AccelDispY, GaussX, GaussY, Kalmanx, Kalmany, Lidar
1,0.2201385516689133,7.73,0.0,3.9370000000000003,-0.00196229697887,3.28983876924,-0.00422128631745,3.08916684325,0.0,0.0,-0.0589559147529,0.21252863475699998,-4.0
2,2.3265749125931277,7.86,1.7272,62.103,-6.62625727874,61.883692290400006,-1.83207792645,57.440685672,0.0,0.0,2.20981372184,4.6097629399099995,-0.5
3,2.5451279925036947,7.84,1.524,66.2686,-5.35311150235,66.4383716311,-4.9010469921399995,61.0351179373,0.0,0.0,-2.64131324639,3.84374985016,-1.0
4,2.273644080387818,7.83,1.016,58.8772,-4.3846519095000005,59.046011360899996,-0.167532820919,53.3932372565,0.0,0.0,-0.137182630568,4.3011775409099995,-1.5
5,2.6028927744457153,7.82,1.5748,67.818,-5.543999067940001,64.4896737929,6.437782565449999,58.086104111299996,0.0,0.0,2.89680905709,2.95165147619,-1.5
6,0.9672259240835506,0.82,0.0,19.558,-0.97377752075,19.989198796900002,-0.24149631162000001,18.8003470367,0.0,0.0,-2.75303967994,7.7682872108600005,-5.0
7,1.8319920344716745,7.91,1.27,47.24400000000001,-4.285156230759999,47.3657516211,-1.95319533148,46.3462616699,0.0,0.0,0.0449993296217,5.14114578992,-2.5
8,3.0387587020319318,7.83,2.286,78.74,-8.481389506580001,76.5381467497,0.8892411832989999,69.3043462777,0.0,0.0,-1.04416894462,3.1446412389700003,-1.0
9,1.3380087689618227,7.82,0.254,33.528,-1.56082495298,33.684698372999996,3.64908211457,31.3598511553,0.0,0.0,5.10368399018,9.11787104677,-4.0
10,1.3758072504770529,7.7,-0.5334,33.782000000000004,-0.218239326559,28.5174856357,-1.25109432127,28.8125305964,0.0,0.0,1.45619761987,6.50780953741,-3.5
11,1.5871038053306363,7.7,0.0,40.132000000000005,-1.72573263048,40.3649876799,6.2474974004599995,37.5105116544,0.0,0.0,0.0238886776595,7.69548286931,-4.5
12,0.3673061150575439,7.82,0.0,7.8740000000000006,-0.228485779551,8.17712886834,0.11595073728300001,7.837582905550001,0.0,0.0,0.23593773244900001,1.39080977876,-4.0
13,1.980784310952953,7.83,1.27,52.07,-4.65933075688,52.24270426049999,1.90515842238,52.1994396746,0.0,0.0,-0.906985803629,5.77067325668,-1.0
14,1.867130397088627,7.81,0.762,48.0314,-3.3069328224000003,48.4984537756,-7.153241594699999,48.3707185431,0.0,0.0,-2.1493880171299997,5.38947085703,-1.0
15,1.3058416087553488,7.73,0.0,31.115000000000002,-1.40065660574,31.530929963400002,-3.09012080656,30.4930116277,0.0,0.0,-7.40916635589,6.87244591108,-4.0
16,0.2645242490823247,7.82,0.0,4.826,-0.0935266564344,5.01924163877,0.249967314,4.89456532313,0.0,0.0,0.05236891786700001,1.28138011503,-4.0
17,1.9906798129340761,7.7,0.254,50.038,-1.6343740675299998,41.8223703257,1.9483907739700002,39.2598588992,0.0,0.0,-0.27286938503,3.84087259588,-2.5
18,2.867280327446241,7.82,1.016,74.1172,-5.62606704215,68.7102260957,-6.1973954854999995,65.7556350346,0.0,0.0,-5.88383378784,2.21534950666,0.0
19,2.373621306737844,7.81,1.524,62.484,-6.558873823319999,62.570260253,-1.24476118646,58.1216272885,0.0,0.0,2.45496633126,3.4352926418200003,-1.5
20,2.98487904667649,7.82,2.032,77.47,-8.30481987668,77.67050096119999,2.72066284475,72.04022638789999,0.0,0.0,0.32488259799799996,2.37838277793,1.0
21,1.3969167546108834,7.8,0.762,52.577999999999996,-2.85052034717,44.6495951056,0.038334684534600004,44.306232859,0.0,0.0,0.853487910076,6.48848745615,-1.0
22,1.7954347337763306,7.68,0.508,45.465999999999994,-2.27399604953,45.1972339372,4.2304922967400005,39.8463670021,0.0,0.0,-0.580104191935,4.18443122146,-1.0
23,0.6756603451111602,7.71,0.0,13.97,0.00706359273418,15.190222385400002,1.6312613097400002,13.887765011299999,0.0,0.0,0.164312624116,7.876644629359999,-2.0
24,2.1154914944861276,7.8,0.762,54.355999999999995,-3.08517641576,47.8700294921,-0.423382242344,47.3211230682,0.0,0.0,-1.5504375767,4.20248904755,-1.0
25,2.694043898717329,7.8,1.27,68.6816,-3.7103383072900002,60.9140191874,8.28646027733,52.3042101589,0.0,0.0,5.7414305691,1.91204258791,1.0
26,1.8105916507023618,7.79,1.143,54.61,-3.69229607151,46.8403828497,4.266277956040001,43.9770728039,0.0,0.0,4.723625870829999,4.77066511202,-3.0
27,2.1896853304074892,7.78,1.143,55.245,-5.14304530066,55.633896108100004,-7.58223081419,52.522769485599994,0.0,0.0,-0.658378769189,3.63644802941,0.0
28,0.2040852405280459,7.67,0.0,4.064,-0.0482248099366,4.08414506878,-0.00428052310527,4.0308927895,0.0,0.0,0.130156289954,0.658233753381,-3.0
29,1.884311196634368,7.67,-0.254,46.736,-0.9176345908050001,46.9375834247,6.01833186899,41.9121470369,0.0,0.0,1.2817211213700002,5.30343620941,-2.5
30,0.8007400444178006,7.83,0.0,18.796000000000003,-0.572159296016,19.1480306616,0.927681566248,17.1857234474,0.0,0.0,0.170068496304,9.52029590244,-4.5
31,1.6869187832702996,7.67,0.3556,43.205400000000004,-1.52755457857,38.052138482,5.067510084589999,35.7709885798,0.0,0.0,3.38210159606,5.11798408665,-1.5
32,2.951076878123934,7.68,1.27,76.962,-6.28245018116,76.08392888910001,20.151070790600002,68.1774226053,0.0,0.0,2.20031082655,1.8569455959099999,0.5
