trialNumber,iteration,time,leftMotorCount,AccelBind.distance[0],E.x,leftMotorPower,deltaLeftMotorCount,deltaAccDispX,deltaEncDispX,rightMotorCount,AccelBind.distance[1],E.y,rightMotorPower,deltaRightMotorCount,deltaAccDispY,deltaEncDispY,pidOut,lidarDistance,deltaLidar
1,1,1520211817,0,1.21E-05,0,0.5,0,1.21E-05,0,0,-4.17E-06,0,0.5,0,-4.17E-06,0,-0.05,-0.5,-0.5
1,2,1520211817,0,2.25E-05,0,0.600000488,0,1.04E-05,0,0,-1.04E-05,0,0.399999512,0,-6.18E-06,0,-0.150000488,-1.5,-1
1,3,1520211817,3,-1.69E-05,-1.01E-05,0.650415761,3,-3.94E-05,-1.01E-05,13,0.00045776,0.000941612,0.349584239,13,0.000468117,0.000941612,-0.200415761,-2,-0.5
1,4,1520211817,21,0.000100909,-1.55E-05,0.650951183,18,0.00011783,-5.41E-06,27,0.00275732,0.002824938,0.349048817,14,0.002299559,0.001883326,-0.200951183,-2,0
1,5,1520211817,46,0.000188517,-4.29E-05,0.601484542,25,8.76E-05,-2.74E-05,56,0.004729865,0.006002945,0.398515458,29,0.001972545,0.003178007,-0.151484542,-1.5,0.5
1,6,1520211817,84,0.000274477,-0.000108726,0.551888177,38,8.60E-05,-6.58E-05,100,0.009641478,0.010828538,0.448111823,44,0.004911613,0.004825593,-0.101888177,-1,0.5
1,7,1520211817,137,0.00038792,-0.000180365,0.602172222,53,0.000113443,-7.16E-05,153,0.016628113,0.017066668,0.397827778,53,0.006986636,0.00623813,-0.152172222,-1.5,-0.5
1,8,1520211817,200,0.000320209,-0.000274243,0.652572999,63,-6.77E-05,-9.39E-05,217,0.02516184,0.024540558,0.347427001,64,0.008533726,0.00747389,-0.202572999,-2,-0.5
1,9,1520211817,273,0.00027149,-0.000349748,0.65312063,73,-4.87E-05,-7.55E-05,287,0.029853813,0.032956365,0.34687937,70,0.004691973,0.008415807,-0.20312063,-2,0
1,10,1520211817,350,-3.53E-06,-0.000472434,0.603653748,77,-0.000275021,-0.000122686,367,0.040153038,0.042195654,0.396346252,80,0.010299225,0.00923929,-0.153653748,-1.5,0.5
1,11,1520211817,427,-0.000503761,-0.000705898,0.554054436,77,-0.000500229,-0.000233464,455,0.051707306,0.051903785,0.445945564,88,0.011554268,0.009708131,-0.104054436,-1,0.5
1,12,1520211817,515,-0.00084289,-0.000951613,0.604320831,88,-0.000339129,-0.000245715,546,0.05764017,0.062435815,0.395679169,91,0.005932864,0.01053203,-0.154320831,-1.5,-0.5
1,13,1520211817,608,-0.001510131,-0.001195155,0.704721277,93,-0.000667241,-0.000243542,639,0.070101542,0.073379981,0.295278723,93,0.012461372,0.010944166,-0.254721277,-2.5,-1
1,14,1520211817,705,-0.002167036,-0.001476621,0.655400839,97,-0.000656905,-0.000281467,738,0.083088651,0.084911963,0.344599161,99,0.012987109,0.011531982,-0.205400839,-2,0.5
1,15,1520211817,804,-0.002472957,-0.001809353,0.605935857,99,-0.000305922,-0.000332732,841,0.089772016,0.096795847,0.394064143,103,0.006683365,0.011883885,-0.155935857,-1.5,0.5
1,16,1520211817,804,-0.003268362,-0.001809353,0.606337116,0,-0.000795404,0,841,0.103363029,0.096795847,0.393662884,0,0.013591013,0,-0.156337116,-1.5,0
1,17,1520211818,904,-0.004098944,-0.002255089,0.606736491,100,-0.000830582,-0.000445736,950,0.117175219,0.109088289,0.393263509,109,0.01381219,0.012292442,-0.156736491,-1.5,0
1,18,1520211818,1010,-0.004393321,-0.002651644,0.607136804,106,-0.000294377,-0.000396555,1055,0.124145105,0.121500185,0.392863196,105,0.006969887,0.012411896,-0.157136804,-1.5,0
1,19,1520211818,1010,-0.004749213,-0.002651644,0.607536757,0,-0.000355892,0,1055,0.138121368,0.121500185,0.392463243,0,0.013976263,0,-0.157536757,-1.5,0
1,20,1520211818,1215,-0.004971566,-0.003515019,0.657936544,205,-0.000222353,-0.000863375,1263,0.152067961,0.145791618,0.342063456,208,0.013946594,0.024291432,-0.207936544,-2,-0.5
1,21,1520211818,1327,-0.004968239,-0.003985381,0.708472254,112,3.33E-06,-0.000470362,1376,0.159004563,0.159025449,0.291527746,113,0.006936602,0.013233831,-0.258472254,-2.5,-0.5
1,22,1520211818,1439,-0.004709608,-0.00446524,0.709142854,112,0.00025863,-0.00047986,1489,0.172865481,0.172258939,0.290857146,113,0.013860917,0.01323349,-0.259142854,-2.5,0
1,23,1520211818,1552,-0.004030468,-0.004942463,0.659813677,113,0.00067914,-0.000477222,1602,0.186597098,0.185551417,0.340186323,113,0.013731617,0.013292478,-0.209813677,-2,0.5
1,24,1520211818,1665,-0.003656733,-0.005486383,0.660351948,113,0.000373735,-0.00054392,1719,0.19341899,0.199076943,0.339648052,117,0.006821892,0.013525526,-0.210351948,-2,0
1,25,1520211818,1778,-0.002834398,-0.006086287,0.710886258,113,0.000822334,-0.000599905,1837,0.207208282,0.212659014,0.289113742,118,0.013789292,0.01358207,-0.260886258,-2.5,-0.5
1,26,1520211818,1892,-0.001963854,-0.006688448,0.66155971,114,0.000870544,-0.000602161,1953,0.221029079,0.226182072,0.33844029,116,0.013820796,0.013523058,-0.21155971,-2,0.5
1,27,1520211818,2006,-0.001549308,-0.00731002,0.56209249,114,0.000414546,-0.000621572,2069,0.228015903,0.239704252,0.43790751,116,0.006986824,0.01352218,-0.11209249,-1,1
1,28,1520211818,2119,-0.000920335,-0.008033086,0.61236013,113,0.000628973,-0.000723066,2189,0.241995561,0.253398197,0.38763987,120,0.013979658,0.013693944,-0.16236013,-1.5,-0.5
1,29,1520211818,2234,-0.000239783,-0.008765981,0.612761379,115,0.000680552,-0.000732895,2307,0.255960283,0.267091619,0.387238621,118,0.013964721,0.013693422,-0.162761379,-1.5,0
1,30,1520211818,2349,0.00010191,-0.009528359,0.563162652,115,0.000341694,-0.000762378,2425,0.263006227,0.280783431,0.436837348,118,0.007045944,0.013691812,-0.113162652,-1,0.5
1,31,1520211818,2465,0.000681762,-0.010327014,0.613430817,116,0.000579851,-0.000798654,2544,0.277293853,0.294591081,0.386569183,119,0.014287626,0.013807651,-0.163430817,-1.5,-0.5
