trialNumber,iteration,time,leftMotorCount,AccelBind.distance[0],E.x,leftMotorPower,deltaLeftMotorCount,deltaAccDispX,deltaEncDispX,rightMotorCount,AccelBind.distance[1],E.y,rightMotorPower,deltaRightMotorCount,deltaAccDispY,deltaEncDispY,pidOut,lidarDistance,deltaLidar
1,1,1519967057,0,-1.10E-05,0,0.5,0,-1.10E-05,0,0,-1.42E-05,0,0.5,0,-1.42E-05,0,-0.05,-0.5,-0.5
1,2,1519967057,0,-2.19E-05,0,0.500000505,0,-1.09E-05,0,0,-3.83E-05,0,0.499999495,0,-2.40E-05,0,-0.050000505,-0.5,0
1,3,1519967057,0,-7.52E-05,0,0.750140348,0,-5.33E-05,0,0,0.000140097,0,0.249859652,0,0.00017837,0,-0.300140348,-3,-2.5
1,4,1519967057,6,-0.000118121,-8.24E-07,0.750938137,6,-4.29E-05,-8.24E-07,7,0.000788364,0.000765104,0.249061863,7,0.000648268,0.000765104,-0.300938137,-3,0
1,5,1519967057,32,-0.000246417,2.19E-05,0.551734485,26,-0.000128296,2.27E-05,24,0.003613664,0.003295731,0.448265515,17,0.0028253,0.002530627,-0.101734485,-1,2
1,6,1519967057,64,-0.000402141,3.18E-05,0.55200444,32,-0.000155724,9.91E-06,59,0.008927338,0.007238948,0.44799556,35,0.005313674,0.003943217,-0.10200444,-1,0
1,7,1519967057,103,-0.000473198,-3.70E-05,0.652270451,39,-7.11E-05,-6.87E-05,113,0.012570577,0.012711954,0.347729549,54,0.003643238,0.005473006,-0.202270451,-2,-1
1,8,1519967057,166,-0.000493963,-5.76E-05,0.602801533,63,-2.08E-05,-2.06E-05,172,0.020658047,0.019892132,0.397198467,59,0.00808747,0.007180179,-0.152801533,-1.5,0.5
1,9,1519967057,242,-0.000605997,-2.11E-05,0.603207014,76,-0.000112034,3.65E-05,240,0.030312443,0.028367054,0.396792986,68,0.009654396,0.008474921,-0.153207014,-1.5,0
1,10,1519967057,316,-0.000739866,-9.73E-05,0.753606366,74,-0.000133869,-7.63E-05,323,0.035853309,0.037606843,0.246393634,83,0.005540866,0.009239789,-0.303606366,-3,-1.5
1,11,1519967057,403,-0.000833316,-0.000160164,0.854406526,87,-9.35E-05,-6.28E-05,411,0.047433317,0.047906131,0.145593474,88,0.011580008,0.010299288,-0.404406526,-4,-1
1,12,1519967057,500,-0.000751386,-0.000152219,0.855492246,97,8.19E-05,7.94E-06,502,0.059616311,0.058970711,0.144507754,91,0.012182995,0.01106458,-0.405492246,-4,0
1,13,1519967057,592,-0.001093291,-0.000331118,0.75657089,92,-0.000341905,-0.000178899,607,0.073036514,0.070563602,0.24342911,105,0.013420202,0.011592891,-0.30657089,-3,1
1,14,1519967057,688,-0.00138682,-0.000658964,0.707378163,96,-0.000293529,-0.000327846,718,0.079934192,0.082742002,0.292621837,111,0.006897679,0.0121784,-0.257378163,-2.5,0.5
1,15,1519967057,794,-0.001748741,-0.000972246,0.758044588,106,-0.000361921,-0.000313282,827,0.094040731,0.095391769,0.241955412,109,0.014106539,0.012649767,-0.308044588,-3,-0.5
1,16,1519967057,903,-0.001791813,-0.001353684,0.808852008,109,-4.31E-05,-0.000381438,941,0.10872593,0.108510704,0.191147992,114,0.014685199,0.013118935,-0.358852008,-3.5,-0.5
1,17,1519967057,1014,-0.001784967,-0.001806245,0.859797866,111,6.85E-06,-0.000452561,1058,0.116279635,0.121921821,0.140202134,117,0.007553704,0.013411116,-0.409797866,-4,-0.5
1,18,1519967057,1127,-0.002137771,-0.002359615,0.810877506,113,-0.000352804,-0.000553369,1179,0.131824103,0.135682574,0.189122494,121,0.015544468,0.013760753,-0.360877506,-3.5,0.5
1,19,1519967057,1242,-0.002458258,-0.002967515,0.711825972,115,-0.000320487,-0.0006079,1300,0.147702162,0.149558848,0.288174028,121,0.015878059,0.013876274,-0.261825972,-2.5,1
1,20,1519967058,1359,-0.002767683,-0.003719559,0.712503283,117,-0.000309424,-0.000752045,1427,0.155816967,0.163899559,0.287496717,127,0.008114805,0.014340711,-0.262503283,-2.5,0
1,21,1519967058,1480,-0.003433164,-0.004563908,0.763184347,121,-0.000665481,-0.000844348,1556,0.172227674,0.178588854,0.236815653,129,0.016410706,0.014689295,-0.313184347,-3,-0.5
1,22,1519967058,1604,-0.004032541,-0.005436265,0.76398985,124,-0.000599377,-0.000872357,1684,0.189028525,0.193394426,0.23601015,128,0.016800851,0.014805572,-0.31398985,-3,0
1,23,1519967058,1730,-0.004306947,-0.006365646,0.764800556,126,-0.000274406,-0.000929381,1814,0.197483317,0.208432401,0.235199444,130,0.008454792,0.015037975,-0.314800556,-3,0
1,24,1519967058,1857,-0.005076405,-0.007406694,0.71561087,127,-0.000769458,-0.001041048,1948,0.21461864,0.223758021,0.28438913,134,0.017135322,0.01532562,-0.26561087,-2.5,0.5
1,25,1519967058,1985,-0.005980183,-0.008533293,0.66630138,128,-0.000903779,-0.001126599,2083,0.231837175,0.239195613,0.33369862,135,0.017218535,0.015437592,-0.21630138,-2,0.5
1,26,1519967058,2115,-0.006819373,-0.009713113,0.716838311,130,-0.000839189,-0.001179819,2218,0.249177802,0.254747278,0.283161689,135,0.017340627,0.015551665,-0.266838311,-2.5,-0.5
1,27,1519967058,2248,-0.007248939,-0.01089059,0.817530449,133,-0.000429566,-0.001177477,2352,0.25773399,0.270417164,0.182469551,134,0.008556187,0.015669885,-0.367530449,-3.5,-1
1,28,1519967058,2381,-0.008396553,-0.012100697,0.818488507,133,-0.001147614,-0.001210108,2487,0.274810643,0.286143592,0.181511493,135,0.017076653,0.015726428,-0.368488507,-3.5,0
1,29,1519967058,2511,-0.009303032,-0.013369792,0.769441662,130,-0.000906479,-0.001269095,2622,0.291909261,0.301688226,0.230558338,135,0.017098618,0.015544635,-0.319441662,-3,0.5
1,30,1519967058,2641,-0.009768485,-0.014760412,0.720259582,130,-0.000465453,-0.00139062,2760,0.300501136,0.317399721,0.279740418,138,0.008591875,0.015711495,-0.270259582,-2.5,0.5
1,31,1519967058,2770,-0.010640303,-0.016230171,0.770945607,129,-0.000871818,-0.001469758,2897,0.317622547,0.332985784,0.229054393,137,0.017121411,0.015586063,-0.320945607,-3,-0.5
1,32,1519967058,2900,-0.011458163,-0.017778425,0.821776202,130,-0.000817861,-0.001548254,3034,0.334785144,0.348623388,0.178223798,137,0.017162597,0.015637604,-0.371776202,-3.5,-0.5
1,33,1519967058,3030,-0.012407696,-0.019359633,0.772741711,130,-0.000949533,-0.001581208,3169,0.351896983,0.364139382,0.227258289,135,0.017111839,0.015515993,-0.322741711,-3,0.5
1,34,1519967058,3159,-0.012876346,-0.021006969,0.723558462,129,-0.00046865,-0.001647336,3304,0.360521687,0.379589307,0.276441538,135,0.008624704,0.015449925,-0.273558462,-2.5,0.5
1,35,1519967058,3159,-0.014114302,-0.021006969,0.724245811,0,-0.001237956,0,3304,0.377844857,0.379589307,0.275754189,0,0.01732317,0,-0.274245811,-2.5,0
1,36,1519967058,3287,-0.015574609,-0.022824343,0.674918973,128,-0.001460307,-0.001817374,3443,0.395261739,0.395197923,0.325081027,139,0.017416882,0.015608617,-0.224918973,-2,0.5
1,37,1519967058,3417,-0.016311823,-0.024721594,0.575456314,130,-0.000737214,-0.001897251,3581,0.404045886,0.410856319,0.424543686,138,0.008784147,0.015658395,-0.125456314,-1,1
1,38,1519967059,3549,-0.01801722,-0.02664132,0.575731574,132,-0.001705397,-0.001919727,3717,0.421590273,0.426511974,0.424268426,136,0.017544387,0.015655656,-0.125731574,-1,0
1,39,1519967059,3682,-0.019631089,-0.028694118,0.575999933,133,-0.001613869,-0.002052797,3857,0.438991125,0.442447486,0.424000067,140,0.017400852,0.015935512,-0.125999933,-1,0
1,40,1519967059,3816,-0.020435842,-0.030767882,0.526267444,134,-0.000804753,-0.002073764,3995,0.447634813,0.45832093,0.473732556,138,0.008643688,0.015873444,-0.076267444,-0.5,0.5
1,41,1519967059,3816,-0.021908556,-0.030767882,0.526402331,0,-0.001472714,0,3995,0.464814102,0.45832093,0.473597669,0,0.01717929,0,-0.076402331,-0.5,0
1,42,1519967059,4074,-0.023569745,-0.034579014,0.626541764,258,-0.001661188,-0.003811133,4251,0.481611734,0.488330942,0.373458236,256,0.016797632,0.030010012,-0.176541764,-1.5,-1
1,43,1519967059,4211,-0.024987163,-0.036671714,0,137,-0.001417419,-0.002092699,4390,0.498055666,0.504439326,0,139,0.016443932,0.016108384,0,-1.5,0
1,44,1519967059,4347,-0.025623167,-0.038698118,0,136,-0.000636004,-0.002026405,4525,0.506247404,0.520259552,0,135,0.008191738,0.015820227,0,-1,0.5
1,45,1519967059,4478,-0.026512858,-0.040662714,0,131,-0.000889691,-0.001964596,4656,0.522598054,0.53555368,0,131,0.01635065,0.015294128,0,-1.5,-0.5
1,46,1519967059,4478,-0.026998409,-0.040662714,0,0,-0.000485552,0,4656,0.529942752,0.53555368,0,0,0.007344698,0,0,-1.5,0
2,1,1519967087,0,-1.41E-05,-6.34E-08,0.45,0,-1.41E-05,-6.34E-08,-1,4.87E-06,-5.89E-05,0.55,-1,4.87E-06,-5.89E-05,0,0,0
2,2,1519967087,0,-3.00E-05,-6.34E-08,0.5,0,-1.59E-05,0,-1,1.31E-05,-5.89E-05,0.5,0,8.26E-06,0,-0.05,-0.5,-0.5
2,3,1519967087,4,-9.76E-05,-2.60E-06,0.700165125,4,-6.75E-05,-2.53E-06,7,0.00043023,0.000647391,0.299834875,8,0.000417095,0.000706245,-0.250165125,-2.5,-2
2,4,1519967087,32,-0.000125993,2.74E-05,0.700843676,28,-2.84E-05,3.00E-05,22,0.001282846,0.003177943,0.299156324,15,0.000852616,0.002530552,-0.250843676,-2.5,0
2,5,1519967087,32,-0.000155166,2.74E-05,0.701516187,0,-2.92E-05,0,22,0.004775893,0.003177943,0.298483813,0,0.003493046,0,-0.251516187,-2.5,0
2,6,1519967087,62,-0.000235402,3.02E-05,0.6521878,30,-8.02E-05,2.79E-06,58,0.010975007,0.007062317,0.3478122,36,0.006199114,0.003884374,-0.2021878,-2,0.5
2,7,1519967087,104,-0.000271994,-3.34E-05,0.65272844,42,-3.66E-05,-6.35E-05,113,0.014959797,0.012770818,0.34727156,55,0.00398479,0.005708501,-0.20272844,-2,0
2,8,1519967087,165,-0.000306269,-0.000113185,0.603310141,61,-3.43E-05,-7.98E-05,178,0.023874424,0.020186013,0.396689859,65,0.008914627,0.007415195,-0.153310141,-1.5,0.5
2,9,1519967087,238,-0.000403398,-0.000183622,0.603724194,73,-9.71E-05,-7.04E-05,250,0.034329485,0.028719577,0.396275806,72,0.010455061,0.008533563,-0.153724194,-1.5,0
2,10,1519967087,317,-0.000522125,-0.000317882,0.654124258,79,-0.000118727,-0.00013426,334,0.046111304,0.038311866,0.345875742,84,0.01178182,0.00959229,-0.204124258,-2,-0.5
2,11,1519967087,406,-0.000529169,-0.00045776,0.704663358,89,-7.04E-06,-0.000139878,424,0.052263411,0.048845833,0.295336642,90,0.006152107,0.010533967,-0.254663358,-2.5,-0.5
2,12,1519967087,503,-0.000453954,-0.000592275,0.605330968,97,7.52E-05,-0.000134515,520,0.065318035,0.060203891,0.394669032,96,0.013054624,0.011358058,-0.155330968,-1.5,1
2,13,1519967087,600,-0.000385577,-0.000839706,0.505732976,97,6.84E-05,-0.000247432,625,0.079221531,0.072089858,0.494267024,105,0.013903495,0.011885967,-0.055732976,-0.5,1
2,14,1519967087,702,-0.000309707,-0.00114128,0.605867086,102,7.59E-05,-0.000301573,733,0.08629703,0.084445553,0.394132914,108,0.007075499,0.012355695,-0.155867086,-1.5,-1
2,15,1519967087,813,0.000135368,-0.001386412,0.606275663,111,0.000445076,-0.000245133,841,0.100589401,0.097332284,0.393724337,108,0.014292372,0.012886731,-0.156275663,-1.5,0
2,16,1519967088,928,0.000677276,-0.001611738,0.606674558,115,0.000541908,-0.000225325,953,0.115186832,0.11069028,0.393325442,112,0.014597431,0.013357996,-0.156674558,-1.5,0
2,17,1519967088,1043,0.000974624,-0.001870302,0.557075419,115,0.000297348,-0.000258565,1069,0.122667289,0.124283133,0.442924581,116,0.007480457,0.013592854,-0.107075419,-1,0.5
2,18,1519967088,1155,0.001838931,-0.002259017,0.557342169,112,0.000864307,-0.000388715,1190,0.137662552,0.137990644,0.442657831,121,0.014995263,0.01370751,-0.107342169,-1,0
2,19,1519967088,1275,0.003026108,-0.002580698,0.60761004,120,0.001187177,-0.000321681,1308,0.152740896,0.151994241,0.39238996,118,0.015078343,0.014003597,-0.15761004,-1.5,-0.5
2,20,1519967088,1395,0.003750192,-0.002915217,0.558011162,120,0.000724085,-0.000334519,1428,0.160267923,0.166115279,0.441988838,120,0.007527027,0.014121038,-0.108011162,-1,0.5
2,21,1519967088,1516,0.00535125,-0.003252524,0.608277618,121,0.001601057,-0.000337307,1549,0.175241864,0.180353993,0.391722382,121,0.014973941,0.014238714,-0.158277618,-1.5,-0.5
2,22,1519967088,1637,0.00719829,-0.003657733,0.558677442,121,0.001847041,-0.00040521,1674,0.190479658,0.194826446,0.441322558,125,0.015237794,0.014472453,-0.108677442,-1,0.5
2,23,1519967088,1758,0.008161692,-0.004087158,0.558946177,121,0.000963402,-0.000429425,1798,0.198198168,0.209239321,0.441053823,124,0.00771851,0.014412875,-0.108946177,-1,0
2,24,1519967088,1882,0.010122549,-0.004558892,0.609213892,124,0.001960857,-0.000471734,1925,0.213719343,0.224004183,0.390786108,127,0.015521175,0.014764862,-0.159213892,-1.5,-0.5
2,25,1519967088,2007,0.0121527,-0.005066429,0.509614055,125,0.002030151,-0.000507537,2053,0.229287163,0.238885635,0.490385945,128,0.01556782,0.014881452,-0.059614055,-0.5,1
2,26,1519967088,2132,0.013156028,-0.005606007,0.509747485,125,0.001003328,-0.000539578,2181,0.237142137,0.253765959,0.490252515,128,0.007854973,0.014880325,-0.059747485,-0.5,0
2,27,1519967088,2258,0.014952178,-0.00620061,0.559881437,126,0.00179615,-0.000594604,2311,0.253035404,0.268820889,0.440118563,130,0.015893268,0.015054929,-0.109881437,-1,-0.5
2,28,1519967088,2388,0.016681678,-0.006763918,0.660151083,130,0.0017295,-0.000563308,2440,0.268700339,0.284053706,0.339848917,129,0.015664935,0.015232817,-0.210151083,-2,-1
