trialNumber,iteration,time,leftMotorCount,AccelBind.distance[0],E.x,leftMotorPower,deltaLeftMotorCount,deltaAccDispX,deltaEncDispX,rightMotorCount,AccelBind.distance[1],E.y,rightMotorPower,deltaRightMotorCount,deltaAccDispY,deltaEncDispY,pidOut,lidarDistance,deltaLidar
1,1,1519968093,0,2.89E-06,0,0.45,0,2.89E-06,0,0,1.71E-06,0,0.55,0,1.71E-06,0,0,-0.5,-0.5
1,2,1519968093,0,8.60E-06,0,0.45,0,5.70E-06,0,0,4.52E-06,0,0.55,0,2.81E-06,0,0,-1.5,-1
1,3,1519968093,0,-1.93E-05,0,0.45,0,-2.79E-05,0,0,5.29E-05,0,0.55,0,4.84E-05,0,0,-2,-0.5
1,4,1519968093,2,-4.95E-05,-1.40E-05,0.450140022,2,-3.02E-05,-1.40E-05,15,0.001721914,0.001000423,0.549859978,15,0.001668998,0.001000423,-0.000140022,-1.5,0.5
1,5,1519968093,17,1.35E-05,-3.05E-05,0.450305145,15,6.30E-05,-1.65E-05,30,0.003132885,0.002765971,0.549694855,15,0.001410971,0.001765548,-0.000305145,-1.5,0
1,6,1519968093,51,3.12E-05,-2.92E-05,0.450293522,34,1.77E-05,1.25E-06,55,0.007458798,0.006238367,0.549706478,25,0.004325912,0.003472396,-0.000293522,-2,-0.5
1,7,1519968093,91,-6.27E-05,-7.65E-05,0.450766587,40,-9.39E-05,-4.72E-05,101,0.013819613,0.011299605,0.549233413,46,0.006360815,0.005061238,-0.000766587,-2.5,-0.5
1,8,1519968093,198,-5.48E-05,-0.000180892,0.451813094,107,7.91E-06,-0.000104439,209,0.022029423,0.023952819,0.548186906,108,0.00820981,0.012653215,-0.001813094,-2.5,0
1,9,1519968094,198,-4.72E-06,-0.000180892,0.451818126,0,5.01E-05,0,209,0.026648838,0.023952819,0.548181874,0,0.004619416,0,-0.001818126,-2.5,0
1,10,1519968094,270,-2.74E-05,-0.000228877,0.452302887,72,-2.27E-05,-4.80E-05,279,0.036911066,0.032309973,0.547697113,70,0.010262228,0.008357154,-0.002302887,-1.5,1
1,11,1519968094,433,-0.000145286,-0.000392958,0.453005679,78,-0.000117859,-6.96E-05,445,0.048399064,0.051672291,0.546994321,79,0.011487998,0.009239842,-0.003005679,-1.5,0.5
1,12,1519968094,433,-0.000113919,-0.000392958,0.453958526,85,3.14E-05,-9.44E-05,445,0.06101806,0.051672291,0.546041474,87,0.012618996,0.010122476,-0.003958526,-1.5,-0.5
1,13,1519968094,622,-9.69E-05,-0.000630917,0.455024323,92,1.70E-05,-0.000105495,637,0.067745974,0.074094457,0.544975677,93,0.006727915,0.01088751,-0.005024323,-1.5,-0.5
1,14,1519968094,724,-0.000233543,-0.000773793,0.456362668,97,-0.000136654,-0.000132464,740,0.081786723,0.086158715,0.543637332,99,0.014040749,0.011534656,-0.006362668,-1,0.5
1,15,1519968094,724,-0.000106741,-0.000773793,0.457808908,102,0.000126802,-0.000142876,740,0.096516299,0.086158715,0.542191092,103,0.014729576,0.012064258,-0.007808908,-1,0.5
1,16,1519968094,942,0.00038731,-0.001012619,0.458865117,108,0.000194634,-0.000103467,956,0.111799368,0.111700292,0.541134883,105,0.007591982,0.012535511,-0.008865117,-1.5,-0.5
1,17,1519968094,942,0.000831343,-0.001012619,0.460242935,110,0.00074345,-0.000135358,956,0.119721559,0.111700292,0.539757065,111,0.015613278,0.013006066,-0.010242935,-1.5,0
1,18,1519968094,1056,0.001875355,-0.001147449,0.461619556,114,0.001044013,-0.00013483,1070,0.135162101,0.125118365,0.538380444,114,0.015440542,0.013418073,-0.011619556,-1.5,0
1,19,1519968094,1173,0.003317703,-0.001255246,0.462728736,117,0.001442348,-0.000107797,1185,0.15118981,0.138772106,0.537271264,115,0.016027709,0.013653741,-0.012728736,-1,0.5
1,20,1519968094,1292,0.004110473,-0.001329693,0.463507533,119,0.00079277,-7.44E-05,1301,0.159148341,0.152602635,0.536492467,116,0.007958531,0.013830529,-0.013507533,-0.5,0.5
1,21,1519968094,1412,0.005883627,-0.001390011,0.46414705,120,0.001773154,-6.03E-05,1419,0.175013206,0.166609797,0.53585295,118,0.015864865,0.014007162,-0.01414705,-1,-0.5
1,22,1519968094,1531,0.007975082,-0.00144507,0.464735357,119,0.002091455,-5.51E-05,1537,0.190878702,0.180558125,0.535264643,118,0.015865496,0.013948329,-0.014735357,-1,0
1,23,1519968094,1652,0.010173799,-0.001475482,0.465078947,121,0.001100153,-3.04E-05,1656,0.206895919,0.194683093,0.534921053,119,0.007971662,0.014124967,-0.015078947,-1.5,-0.5
1,24,1519968094,1775,0.011240402,-0.001455034,0.464914803,123,0.002165167,2.04E-05,1775,0.214857598,0.208925786,0.535085197,119,0.016007234,0.014242694,-0.014914803,-2.5,-1
1,25,1519968094,1896,0.013408801,-0.001455031,0.464955163,121,0.002168398,2.73E-09,1896,0.230900253,0.223168495,0.535044837,121,0.016042655,0.014242708,-0.014955163,-2,0.5
1,26,1519968094,2016,0.015361665,-0.001485696,0.465301399,120,0.001952865,-3.07E-05,2018,0.246949746,0.23741117,0.534698601,122,0.016049493,0.014242675,-0.015301399,-1.5,0.5
1,27,1519968095,2137,0.016356266,-0.001537228,0.465857235,121,0.0009946,-5.15E-05,2141,0.254999211,0.251771494,0.534142765,123,0.008049464,0.014360324,-0.015857235,-1.5,0
1,28,1519968095,2259,0.01829594,-0.001578453,0.466311219,122,0.001939675,-4.12E-05,2263,0.271427286,0.266131852,0.533688781,122,0.016428075,0.014360357,-0.016311219,-2,-0.5
1,29,1519968095,2381,0.020127236,-0.00165119,0.467081589,122,0.001831296,-7.27E-05,2387,0.288039032,0.280609794,0.532918411,124,0.016611746,0.014477942,-0.017081589,-3,-1
1,30,1519968095,2503,0.021072056,-0.001760739,0.468222098,122,0.00094482,-0.00010955,2512,0.296428498,0.29514636,0.531777902,125,0.008389466,0.014536566,-0.018222098,-2.5,0.5
1,31,1519968095,2628,0.023163952,-0.001888474,0.469547209,125,0.002091896,-0.000127734,2639,0.313323399,0.30997706,0.530452791,127,0.016894902,0.0148307,-0.019547209,-2,0.5
1,32,1519968095,2756,0.025670176,-0.0019908,0.470622666,128,0.002506224,-0.000102327,2766,0.330375954,0.324984524,0.529377334,127,0.017052555,0.015007464,-0.020622666,-2.5,-0.5
1,33,1519968095,2883,0.028391907,-0.002114669,0.471916329,127,0.002721731,-0.000123869,2894,0.34735174,0.339991825,0.528083671,128,0.016975785,0.015007301,-0.021916329,-2.5,0
1,34,1519968095,3011,0.029887076,-0.002233617,0.473162347,128,0.001495169,-0.000118948,3022,0.355777509,0.355058022,0.526837653,128,0.008425769,0.015066197,-0.023162347,-2.5,0
1,35,1519968095,3141,0.033155294,-0.002304179,0.473930101,130,0.003268218,-7.06E-05,3149,0.372640338,0.370183379,0.526069899,127,0.016862829,0.015125356,-0.023930101,-2.5,0
1,36,1519968095,3271,0.036801456,-0.002325804,0.474210152,130,0.003646162,-2.16E-05,3275,0.38943329,0.38525003,0.525789848,126,0.016792951,0.015066651,-0.024210152,-2,0.5
1,37,1519968095,3400,0.040615632,-0.002352941,0.47454605,129,0.003814176,-2.71E-05,3403,0.405960872,0.400375526,0.52545395,128,0.016527582,0.015125496,-0.02454605,-2.5,-0.5
1,38,1519968095,3528,0.04257618,-0.00238538,0.474938176,128,0.001960549,-3.24E-05,3531,0.414209694,0.415442158,0.525061824,128,0.008248822,0.015066632,-0.024938176,-3,-0.5
1,39,1519968095,3657,0.04692838,-0.002385377,0.475004499,129,0.004352199,2.80E-09,3658,0.430688316,0.430508825,0.524995501,127,0.016478622,0.015066667,-0.025004499,-3.5,-0.5
1,40,1519968095,3785,0.051395601,-0.002363916,0.47485615,128,0.004467221,2.15E-05,3784,0.446867914,0.445457768,0.52514385,126,0.016179598,0.014948943,-0.02485615,-3,0.5
1,41,1519968095,3912,0.053602521,-0.002369299,0,127,0.00220692,-5.38E-06,3912,0.455011695,0.460465579,0,128,0.008143781,0.015007812,0,-3,0
1,42,1519968095,4038,0.057884655,-0.002417768,0,126,0.004282135,-4.85E-05,4041,0.470975278,0.475473313,0,129,0.015963583,0.015007734,0,-3.5,-0.5
1,43,1519968095,4162,0.062249966,-0.002465097,0,124,0.00436531,-4.73E-05,4166,0.487009242,0.490127924,0,125,0.016033964,0.014654611,0,-3.5,0
1,44,1519968095,4273,0.064546418,-0.002545881,0,111,0.002296452,-8.08E-05,4280,0.494471074,0.503369865,0,114,0.007461831,0.013241941,0,-3.5,0
1,45,1519968096,4373,0.069334139,-0.002631206,0,100,0.004787721,-8.53E-05,4382,0.506614505,0.515258101,0,102,0.012143431,0.011888235,0,-3.5,0
1,46,1519968096,4454,0.071757948,-0.002758939,0,81,0.002423809,-0.000127733,4469,0.511828426,0.525144776,0,87,0.005213921,0.009886675,0,-3,0.5
1,47,1519968096,4524,0.076763269,-0.00285721,0,70,0.005005321,-9.83E-05,4540,0.520693405,0.533442631,0,71,0.008864979,0.008297856,0,-3,0
1,48,1519968096,4580,0.079375599,-0.002932904,0,56,0.00261233,-7.57E-05,4596,0.524291576,0.540033863,0,56,0.003598171,0.006591232,0,-3,0
1,49,1519968096,4624,0.084801354,-0.002986189,0,44,0.005425755,-5.33E-05,4639,0.529913411,0.545153899,0,43,0.005621835,0.005120035,0,-3,0
1,50,1519968096,4655,0.090491731,-0.003030098,0,31,0.005690377,-4.39E-05,4671,0.533380368,0.548861451,0,32,0.003466957,0.003707553,0,-3.5,-0.5
1,51,1519968096,4655,0.094312401,-0.003030098,0,0,0.00382067,0,4671,0.534576685,0.548861451,0,0,0.001196317,0,0,-3.5,0
2,1,1519968126,-1,4.15E-07,6.34E-08,0.449999366,-1,4.15E-07,6.34E-08,0,-3.52E-05,-5.89E-05,0.550000634,0,-3.52E-05,-5.89E-05,6.34E-07,-0.5,-0.5
2,2,1519968126,-1,3.58E-06,6.34E-08,0.449999366,0,3.16E-06,0,0,-5.87E-05,-5.89E-05,0.550000634,0,-2.35E-05,0,6.34E-07,-1.5,-1
2,3,1519968127,-1,4.66E-06,6.34E-08,0.449999365,0,1.09E-06,0,0,6.54E-05,-5.89E-05,0.550000635,0,0.00012417,0,6.35E-07,-1.5,0
2,4,1519968127,8,-3.22E-05,4.22E-07,0.449995772,9,-3.69E-05,3.59E-07,8,0.002001612,0.000941667,0.550004228,8,0.001936188,0.001000521,4.23E-06,-1,0.5
2,5,1519968127,34,-5.86E-05,9.74E-06,0.449902618,26,-2.63E-05,9.31E-06,31,0.00387276,0.003825506,0.550097382,23,0.001871148,0.002883839,9.74E-05,-1,0
2,6,1519968127,72,-4.12E-05,1.94E-05,0.449806042,38,1.73E-05,9.63E-06,69,0.009356156,0.008298412,0.550193958,38,0.005483395,0.004472906,0.000193958,-1,0
2,7,1519968127,123,-4.37E-05,2.59E-05,0.449740252,51,-2.44E-06,6.53E-06,121,0.016822873,0.014360388,0.550259748,52,0.007466717,0.006061976,0.000259748,-1,0
2,8,1519968127,187,4.10E-05,4.47E-05,0.449551782,64,8.47E-05,1.88E-05,184,0.021235301,0.021834843,0.550448218,63,0.004412427,0.007474456,0.000448218,-1,0
2,9,1519968127,261,0.000272455,6.34E-05,0.449363012,74,0.000231429,1.88E-05,258,0.03104374,0.03054524,0.550636988,74,0.009808439,0.008710396,0.000636988,-1.5,-0.5
2,10,1519968127,344,0.000374218,0.000115066,0.448844851,83,0.000101763,5.16E-05,338,0.041879134,0.04013833,0.551155149,80,0.010835395,0.00959309,0.001155149,-1,0.5
2,11,1519968127,432,0.000657849,0.000181216,0.448180223,88,0.000283631,6.61E-05,424,0.053669526,0.050378741,0.551819777,86,0.011790392,0.010240411,0.001819777,0,1
2,12,1519968127,526,0.00089864,0.000278898,0.447198464,94,0.00024079,9.77E-05,515,0.059801454,0.061266324,0.552801536,91,0.006131928,0.010887583,0.002801536,-0.5,-0.5
2,13,1519968127,624,0.001453329,0.00038186,0.446161252,98,0.000554689,0.000102962,612,0.072539168,0.072742425,0.553838748,97,0.012737714,0.011476101,0.003838748,-1,-0.5
