trialNumber,iteration,time,leftMotorCount,AccelBind.distance[0],E.x,leftMotorPower,deltaLeftMotorCount,deltaAccDispX,deltaEncDispX,rightMotorCount,AccelBind.distance[1],E.y,rightMotorPower,deltaRightMotorCount,deltaAccDispY,deltaEncDispY,pidOut,lidarDistance,deltaLidar
1,1,1519967558,1,-1.12E-05,0,0.45,1,-1.12E-05,0,-1,-8.01E-06,0,0.55,-1,-8.01E-06,0,0,0,0
1,2,1519967558,1,-2.04E-05,0,0.45,0,-9.21E-06,0,-1,-1.67E-05,0,0.55,0,-8.67E-06,0,0,0,0
1,3,1519967558,1,-4.14E-05,0,0.55,0,-2.09E-05,0,-1,2.03E-05,0,0.45,0,3.70E-05,0,-0.1,-1,-1
1,4,1519967558,7,-8.94E-05,1.01E-06,0.60026594,6,-4.81E-05,1.01E-06,5,0.001141787,0.000706249,0.39973406,6,0.001121446,0.000706249,-0.15026594,-1.5,-0.5
1,5,1519967558,29,-0.000114415,1.87E-05,0.65066488,22,-2.50E-05,1.77E-05,21,0.004496346,0.002942638,0.34933512,16,0.003354558,0.002236389,-0.20066488,-2,-0.5
1,6,1519967558,60,-0.000151225,2.42E-05,0.55119831,31,-3.68E-05,5.58E-06,56,0.006964745,0.006827009,0.44880169,35,0.0024684,0.003884371,-0.10119831,-1,1
1,7,1519967558,104,-0.000203519,1.65E-05,0.60146832,44,-5.23E-05,-7.77E-06,104,0.013585569,0.012241587,0.39853168,48,0.006620824,0.005414578,-0.15146832,-1.5,-0.5
1,8,1519967558,164,-0.00027151,2.40E-05,0.751881361,60,-6.80E-05,7.54E-06,163,0.022024698,0.019245228,0.248118639,59,0.008439129,0.007003642,-0.301881361,-3,-1.5
1,9,1519967558,229,-0.000326294,-1.31E-05,0.702678567,65,-5.48E-05,-3.71E-05,233,0.026889298,0.027190454,0.297321433,70,0.004864601,0.007945226,-0.252678567,-2.5,0.5
1,10,1519967558,303,-0.000469437,-0.000107989,0.70334568,74,-0.000143142,-9.49E-05,314,0.037418375,0.036312356,0.29665432,81,0.010529077,0.009121902,-0.25334568,-2.5,0
1,11,1519967559,386,-0.000654606,-0.000230063,0.654031608,83,-0.00018517,-0.000122075,401,0.048965814,0.04631682,0.345968392,87,0.011547439,0.010004464,-0.204031608,-2,0.5
1,12,1519967559,475,-0.000849195,-0.000403985,0.504566578,89,-0.000194588,-0.000173921,495,0.06162991,0.057085728,0.495433422,94,0.012664096,0.010768908,-0.054566578,-0.5,1.5
1,13,1519967559,570,-0.001038588,-0.00063049,0.55470171,95,-0.000189393,-0.000226505,595,0.068372399,0.068560055,0.44529829,100,0.00674249,0.011474327,-0.10470171,-1,-0.5
1,14,1519967559,671,-0.001515332,-0.000871757,0.60497286,101,-0.000476745,-0.000241267,698,0.082147806,0.080563881,0.39502714,103,0.013775406,0.012003826,-0.15497286,-1.5,-0.5
1,15,1519967559,782,-0.001948427,-0.001021605,0.555379061,111,-0.000433095,-0.000149848,802,0.096488914,0.093216639,0.444620939,104,0.014341109,0.012652759,-0.105379061,-1,0.5
1,16,1519967559,889,-0.002164472,-0.001291086,0.605650317,107,-0.000216045,-0.000269481,915,0.10401167,0.106161751,0.394349683,113,0.007522756,0.012945112,-0.155650317,-1.5,-0.5
1,17,1519967559,996,-0.002799205,-0.001678974,0.556056135,107,-0.000634732,-0.000387888,1032,0.119622092,0.119339377,0.443943865,117,0.015610422,0.013177626,-0.106056135,-1,0.5
1,18,1519967559,1112,-0.003606068,-0.001999555,0.556327969,116,-0.000806863,-0.000320581,1146,0.13528376,0.132872039,0.443672031,114,0.015661668,0.013532662,-0.106327969,-1,0
1,19,1519967559,1230,-0.003967906,-0.002371488,0.606599839,118,-0.000361838,-0.000371933,1266,0.143160846,0.146874392,0.393400161,120,0.007877086,0.014002353,-0.156599839,-1.5,-0.5
1,20,1519967559,1347,-0.004803849,-0.002793669,0.507007097,117,-0.000835943,-0.00042218,1387,0.159002211,0.16087532,0.492992903,121,0.015841365,0.014000928,-0.057007097,-0.5,1
1,21,1519967559,1468,-0.00552783,-0.003202509,0.457147667,121,-0.000723981,-0.00040884,1508,0.174761113,0.175112159,0.542852333,121,0.015758902,0.014236839,-0.007147667,0,0.5
1,22,1519967559,1589,-0.006212666,-0.003645634,0.557147667,121,-0.000684836,-0.000443126,1631,0.190763755,0.189465737,0.442852333,123,0.016002642,0.014353578,-0.107147667,-1,-1
1,23,1519967559,1715,-0.006542436,-0.004040015,0.657419001,126,-0.00032977,-0.000394381,1754,0.198716651,0.204115117,0.342580999,123,0.007952895,0.01464938,-0.207419001,-2,-1
1,24,1519967559,1843,-0.007198732,-0.004373967,0.607962021,128,-0.000656296,-0.000333952,1877,0.21448724,0.218883737,0.392037979,123,0.015770589,0.014768621,-0.157962021,-1.5,0.5
1,25,1519967559,1964,-0.007798032,-0.004806898,0.608375076,121,-0.0005993,-0.000432931,2003,0.23052231,0.233414268,0.391624924,126,0.01603507,0.014530531,-0.158375076,-1.5,0
1,26,1519967559,2084,-0.008156998,-0.005323253,0.658786421,120,-0.000358967,-0.000516355,2130,0.238494361,0.247942074,0.341213579,127,0.007972051,0.014527806,-0.208786421,-2,-0.5
1,27,1519967559,2210,-0.00885195,-0.005812825,0.659328871,126,-0.000694952,-0.000489572,2256,0.255192261,0.262765242,0.340671129,126,0.0166979,0.014823168,-0.209328871,-2,0
1,28,1519967559,2335,-0.009484672,-0.006388961,0.659884253,125,-0.000632721,-0.000576136,2386,0.271428157,0.277761992,0.340115747,130,0.016235896,0.01499675,-0.209884253,-2,0
1,29,1519967560,2459,-0.010351109,-0.00701397,0.660586324,124,-0.000866437,-0.000625009,2515,0.287650874,0.292638973,0.339413676,129,0.016222717,0.014876981,-0.210586324,-2,0
1,30,1519967560,2585,-0.011184339,-0.007684204,0.661139384,126,-0.00083323,-0.000670233,2645,0.304249967,0.307690724,0.338860616,130,0.016599093,0.015051752,-0.211139384,-2,0
