Trial Number, Time, Voltage, Actualx, Actualy, EncoderX, EncoderY, AccelDispX, AccelDispY, GaussX, GaussY, Kalmanx, Kalmany, Lidar
1,2.2477904250136636,8.0,1.524,59.9186,-4.385139601670001,56.1252444119,-2.81077803734,54.2423013288,0.0,0.0,-2.4836751339900003,3.9661419797199997,-2.0
2,2.4971149892471223,7.98,1.524,66.42099999999999,-2.7417979732899997,66.79267400420001,13.3819548683,55.826425764099994,0.0,0.0,1.43030355884,2.6872404898399997,1.5
3,2.4691293269617507,8.02,1.27,65.659,-3.8625781047700003,65.7152988827,8.57660831952,57.9994344223,0.0,0.0,4.07544599368,2.91203291851,-0.5
4,2.9310763769869035,8.0,0.5334,76.8223,-4.97244552056,76.9060189455,6.400953943659999,67.3137780071,0.0,0.0,4.8486994255399996,4.06898024645,1.0
5,2.5851366068337036,7.99,1.524,68.834,-6.7219698006,68.9833988693,13.9836480421,61.8793930179,0.0,0.0,1.75600224539,4.6440807383500005,-1.0
6,2.200965570662517,7.83,0.6985000000000001,58.547000000000004,-2.76726425216,51.7990934931,5.50821408603,49.521814727,0.0,0.0,3.43741853505,4.491424579989999,0.0
7,2.2170187903223346,7.98,1.143,59.182,-4.06183232771,54.1569568812,-0.0145720656518,54.5953791176,0.0,0.0,1.18371127979,4.75104189132,-0.5
8,2.5697403322443133,7.84,-2.159,67.56400000000001,-1.9543606930700002,63.9060333256,-1.0805667243000001,61.389089942700004,0.0,0.0,1.34358517269,4.71343754653,-1.5
9,2.0450965123833624,8.04,1.1938,52.07,-3.22294869975,43.4967814959,-0.809659500232,43.2286734193,0.0,0.0,1.25621304051,5.00400880971,0.0
10,2.2687266527502605,7.87,1.016,60.5028,-4.35929449433,60.681646819799994,-7.63346114848,60.0481974311,0.0,0.0,-1.26155718916,4.14293187,-0.5
11,2.2430875225083127,7.98,0.7365999999999999,60.452000000000005,-2.96689341984,54.611612764499995,-1.0500173992,51.731526111600004,0.0,0.0,-2.7422133051,3.4781381803,-1.0
12,2.7667273654513207,7.98,1.27,74.041,-5.26167849443,68.0442476356,7.72418658114,58.0727416176,0.0,0.0,1.2036669678299998,2.24786561209,0.0
13,2.6034743462204215,7.86,1.7272,69.9008,-4.72955646903,64.03233027110001,5.0144532539,58.966573955,0.0,0.0,5.4623054496800005,2.26612406778,-1.5
14,2.7473296660527438,8.0,1.3208,73.2028,-5.29752107226,70.426901792,5.66620604285,63.565215194000004,0.0,0.0,1.10488055412,2.11976407479,-0.5
