trialNumber,iteration,time,leftMotorCount,AccelBind.distance[0],E.x,leftMotorPower,deltaLeftMotorCount,deltaAccDispX,deltaEncDispX,rightMotorCount,AccelBind.distance[1],E.y,rightMotorPower,deltaRightMotorCount,deltaAccDispY,deltaEncDispY,pidOut,lidarDistance,deltaLidar
1,1,1520217049,0,-9.32E-06,0,0.45,0,-9.32E-06,0,0,8.36E-06,0,0.55,0,8.36E-06,0,0,0,0
1,2,1520217050,0,-6.16E-05,0,0.65,0,-5.23E-05,0,0,0.000215955,0,0.35,0,0.000207593,0,-0.2,-2,-2
1,3,1520217050,4,-7.25E-05,-8.11E-06,0.700865541,4,-1.09E-05,-8.11E-06,12,0.000892182,0.000941632,0.299134459,12,0.000676227,0.000941632,-0.250865541,-2.5,-0.5
1,4,1520217050,27,1.50E-06,2.53E-06,0.701529715,23,7.40E-05,1.06E-05,25,0.003471351,0.003060355,0.298470285,13,0.002579169,0.002118723,-0.251529715,-2.5,0
1,5,1520217050,51,-0.000118476,-1.72E-05,0.70220829,24,-0.000119974,-1.97E-05,56,0.00846473,0.006297274,0.29779171,31,0.004993378,0.003236919,-0.25220829,-2.5,0
1,6,1520217050,85,-0.00025399,-9.49E-05,0.702877752,34,-0.000135515,-7.77E-05,102,0.011541898,0.011004966,0.297122248,46,0.003077168,0.004707692,-0.252877752,-2.5,0
1,7,1520217050,137,-0.000498306,-0.000155252,0.753547413,52,-0.000244316,-6.03E-05,152,0.01878161,0.017007788,0.246452587,50,0.007239713,0.006002822,-0.303547413,-3,-0.5
1,8,1520217050,197,-0.000790472,-0.000239584,0.754362572,60,-0.000292167,-8.43E-05,213,0.027574446,0.024128643,0.245637428,61,0.008792836,0.007120855,-0.304362572,-3,0
1,9,1520217050,265,-0.000949585,-0.000359946,0.755162253,68,-0.000159113,-0.000120362,284,0.037596908,0.032308486,0.244837747,71,0.010022462,0.008179844,-0.305162253,-3,0
1,10,1520217050,339,-0.000979941,-0.000542077,0.755974501,74,-3.04E-05,-0.000182131,364,0.043057631,0.041370198,0.244025499,80,0.005460724,0.009061712,-0.305974501,-3,0
1,11,1520217050,421,-0.000761526,-0.000750163,0.656782042,82,0.000218416,-0.000208086,449,0.05450227,0.051196641,0.343217958,85,0.011444638,0.009826443,-0.206782042,-2,1
1,12,1520217050,507,-0.000447347,-0.001015556,0.557318184,86,0.000314178,-0.000265394,540,0.066705793,0.061610447,0.442681816,91,0.012203523,0.010413806,-0.107318184,-1,1
1,13,1520217050,598,-0.000199868,-0.001321934,0.607584863,91,0.000247479,-0.000306378,635,0.073027214,0.072553034,0.392415137,95,0.006321421,0.010942587,-0.157584863,-1.5,-0.5
1,14,1520217050,696,0.000647369,-0.001573333,0.607986549,98,0.000847237,-0.000251399,729,0.085964954,0.083850237,0.392013451,94,0.01293774,0.011297203,-0.157986549,-1.5,0
1,15,1520217050,797,0.001746882,-0.00179914,0.608386232,101,0.001099513,-0.000225807,826,0.099215111,0.095501174,0.391613768,97,0.013250157,0.011650937,-0.158386232,-1.5,0
1,16,1520217050,899,0.002449707,-0.002063232,0.658784962,102,0.000702825,-0.000264092,929,0.105933576,0.107563387,0.341215038,103,0.006718464,0.012062213,-0.208784962,-2,-0.5
1,17,1520217050,1001,0.004078433,-0.002364866,0.659318841,102,0.001628726,-0.000301635,1034,0.119548902,0.119742465,0.340681159,105,0.013615327,0.012179078,-0.209318841,-2,0
1,18,1520217050,1105,0.005903904,-0.002684175,0.609853261,104,0.001825472,-0.000319308,1140,0.133199737,0.132097715,0.390146739,106,0.013650834,0.01235525,-0.159853261,-1.5,0.5
1,19,1520217050,1211,0.006802333,-0.002982728,0.610252996,106,0.000898429,-0.000298553,1245,0.140121468,0.144512355,0.389747004,105,0.006921732,0.01241464,-0.160252996,-1.5,0
1,20,1520217051,1316,0.008604059,-0.003344263,0.660654957,105,0.001801726,-0.000361535,1354,0.153963917,0.157101956,0.339345043,109,0.013842449,0.012589602,-0.210654957,-2,-0.5
1,21,1520217051,1424,0.010518064,-0.003706286,0.661190476,108,0.001914005,-0.000362022,1463,0.167553959,0.169868178,0.338809524,109,0.013590042,0.012766222,-0.211190476,-2,0
1,22,1520217051,1529,0.011532733,-0.004112998,0.661723857,105,0.001014669,-0.000406713,1572,0.174355144,0.182456401,0.338276143,109,0.006801184,0.012588223,-0.211723857,-2,0
1,23,1520217051,1634,0.01341285,-0.004571533,0.712258258,105,0.001880117,-0.000458534,1682,0.187953125,0.195101736,0.287741742,110,0.013597981,0.012645335,-0.262258258,-2.5,-0.5
1,24,1520217051,1741,0.015071417,-0.005068673,0.712923958,107,0.001658567,-0.00049714,1793,0.201562973,0.20792231,0.287076042,111,0.013609848,0.012820573,-0.262923958,-2.5,0
1,25,1520217051,1849,0.015849704,-0.005657214,0.713594958,108,0.000778287,-0.000588541,1908,0.208524234,0.221033586,0.286405042,115,0.006961262,0.013111277,-0.263594958,-2.5,0
1,26,1520217051,1958,0.017387378,-0.006300378,0.664263707,109,0.001537674,-0.000643164,2023,0.222405311,0.234201222,0.335736293,115,0.013881076,0.013167635,-0.214263707,-2,0.5
1,27,1520217051,2068,0.018948535,-0.006989129,0.614796796,110,0.001561156,-0.000688751,2138,0.236555807,0.247425485,0.385203204,115,0.014150496,0.013224264,-0.164796796,-1.5,0.5
1,28,1520217051,2180,0.019725097,-0.00773842,0.665198579,112,0.000776562,-0.000749291,2255,0.243692599,0.260882245,0.334801421,117,0.007136792,0.01345676,-0.215198579,-2,-0.5
1,29,1520217051,2180,0.021702431,-0.00773842,0.665732198,0,0.001977335,0,2255,0.258062767,0.260882245,0.334267802,0,0.014370169,0,-0.215732198,-2,0
1,30,1520217051,2294,0.023824925,-0.008495834,0.616263037,114,0.002122494,-0.000757414,2371,0.272488607,0.274397496,0.383736963,116,0.01442584,0.013515252,-0.166263037,-1.5,0.5
1,31,1520217051,2411,0.025015868,-0.009274669,0.666663297,117,0.001190943,-0.000778835,2489,0.279791071,0.288206279,0.333336703,118,0.007302463,0.013808783,-0.216663297,-2,-0.5
1,32,1520217051,2526,0.027709195,-0.010104462,1.567197376,115,0.002693327,-0.000829793,2608,0.294404701,0.301953133,-0.567197376,119,0.01461363,0.013746854,-1.117197376,-11,-9
1,33,1520217051,2643,0.030876864,-0.010896321,2.470125514,117,0.003167669,-0.000791859,2724,0.309586539,0.315643272,-1.470125514,116,0.015181838,0.013690139,-2.020125514,-20,-9
1,34,1520217051,2764,0.032343569,-0.011705204,2.175602633,121,0.001466704,-0.000808884,2844,0.315690957,0.329804042,-1.175602633,120,0.006104418,0.014160771,-1.725602633,-17,3
