Trial Number, Time, Voltage, Actualx, Actualy, EncoderX, EncoderY, AccelDispX, AccelDispY, GaussX, GaussY, Kalmanx, Kalmany, Lidar
1,1.8313284047451652,7.72,0.762,43.129200000000004,-3.17053976998,41.4493390765,2.0624035199499997,39.6637195032,0.0,0.0,1.09559231798,4.458084321389999,-2.0
2,2.792397523771034,7.6,-3.048,63.245999999999995,3.70332670592,63.8535896193,19.5462491299,53.303119980400005,0.0,0.0,4.6937055852,2.04489185818,0.0
3,2.7236665994705316,7.68,-1.016,64.3636,-2.09634361161,64.8761166835,16.8614035929,60.4496620363,0.0,0.0,7.06130276809,3.2232400114199997,-0.5
4,2.239686346106338,7.69,-0.508,52.324000000000005,-2.05796431381,52.465271708399996,0.98110439829,50.8466179574,0.0,0.0,-0.6237063119140001,4.917794001060001,0.0
5,3.9839621523970234,7.59,-1.016,94.869,-4.4300683775600005,95.4579956431,39.9836945052,81.257960747,0.0,0.0,5.44105233293,2.34744003476,-1.0
6,2.234795223380317,7.76,-0.5588,52.1716,-1.68154037422,52.6730596482,-1.67092206971,53.424887748100005,0.0,0.0,-1.49395008678,5.23681761808,-0.5
7,2.2013598771595624,7.59,0.0,52.324000000000005,-3.18129404974,51.808416022,-3.58591174904,50.690657528,0.0,0.0,-4.61961673217,5.4581366200699994,-1.0
8,2.3294845810096514,7.57,-2.032,52.7304,0.7305528883250001,53.115855293500005,12.849594311,50.432217617999996,0.0,0.0,1.97463605934,4.5865421668,0.0
9,2.3443043257489626,7.67,-0.5588,55.372,-1.41201589282,55.685237150800006,3.14144631451,52.3897330036,0.0,0.0,2.1659222736699997,3.5925558207400003,2.0
10,3.437322678314535,7.66,-1.524,81.534,-2.2564532069700003,78.67018893870001,3.02827997075,78.2977500786,0.0,0.0,0.292319157207,3.0248910152399997,0.0
