Trial Number, Time, Voltage, Actualx, Actualy, EncoderX, EncoderY, AccelDispX, AccelDispY, GaussX, GaussY, Kalmanx, Kalmany, Lidar
1,2.019477320828625,8.07,1.8796,53.644800000000004,-5.57592193679,49.8623812047,2.63574895975,45.2675058971,0.0,0.0,4.24758735924,4.85315514148,-2.0
2,2.1543610274787617,8.05,0.762,56.8198,-2.5644830236300002,57.1156123531,-4.17276605963,59.162025192099996,0.0,0.0,0.785214967961,4.82041804485,-1.0
3,2.6077942524436155,7.93,2.0066,69.39280000000001,-7.606652589269999,69.293251053,13.9001328944,57.5111332143,0.0,0.0,-3.16380998198,3.22376153315,-0.5
4,2.917818786609186,8.06,1.7145000000000001,76.8985,-7.0829844519,76.817949155,19.9951252548,61.651615228,0.0,0.0,1.89284928827,2.36101032167,1.5
5,2.90865826232988,7.92,0.508,75.7174,-3.31401332915,69.1850934989,-1.96884376905,69.49061820220001,0.0,0.0,0.457865222951,4.0406146439,-1.0
6,2.570012539582808,8.06,3.048,70.358,-10.4711140259,70.0696679059,-4.316948501690001,67.46006411810001,0.0,0.0,-1.43878345383,2.73264639106,0.0
7,2.4546158377576517,8.03,1.3716000000000002,63.982600000000005,-4.49508930779,56.8845757559,-0.672492572451,52.939135235500004,0.0,0.0,-4.11248037934,4.61189816145,-0.5
8,2.5604745344717834,8.03,1.27,67.56400000000001,-5.442250952419999,67.6723252661,-6.912726301289999,64.9067988714,0.0,0.0,-2.81537890869,3.9628511804800004,0.0
9,2.395572327351019,8.04,0.508,61.849000000000004,-2.6004804065,53.5116543967,-5.18700597443,54.8064152518,0.0,0.0,-5.162816381190001,3.71090685787,0.5
10,2.7475207040877785,8.03,1.6256000000000002,72.644,-5.18788975735,72.76280335039999,2.90973783448,66.1296640306,0.0,0.0,-0.598118287552,3.70567568992,0.5
11,2.9480713156253713,7.9,2.032,77.47,-7.94155481449,77.470310549,-10.0417059829,71.31750205600001,0.0,0.0,2.33452196247,4.83353119598,0.5
12,2.366311508805928,7.91,-0.4572,61.4934,-1.77991080135,61.73722407859999,14.4507798706,55.4824862785,0.0,0.0,7.81006389667,4.0915014496,-1.0
13,2.3379028898627956,0.89,1.016,62.3824,-4.70805939432,62.469298417999994,-4.86940279285,63.2311995694,0.0,0.0,1.57150447713,3.727665198,0.0
14,2.437456921431339,7.91,-0.3048,63.5,-0.899075125919,63.72536073490001,3.18100286461,57.6453512749,0.0,0.0,-0.361095283567,3.32596439356,-0.5
15,2.2617628297278043,7.9,0.508,57.912000000000006,-2.70288939952,49.8987964564,7.7124444923799995,45.904504444,0.0,0.0,5.04197535032,3.45069963871,0.5
16,2.6647317808192463,8.05,1.7779999999999998,70.0278,-6.85612097906,70.0801961337,-1.48676757232,67.6850720597,0.0,0.0,0.510736661647,2.75149599151,0.0
17,2.796626881253315,7.97,1.9304000000000001,73.152,-7.02205871217,73.1218127791,2.50111623917,63.263452722400004,0.0,0.0,-1.5327664596200001,3.04841516522,2.5
18,2.2126496021132156,7.95,0.508,56.895999999999994,-3.59376207749,56.9573300755,8.52666451889,47.9285899453,0.0,0.0,0.595059401171,4.1099334167,-1.0
19,2.600959733903311,7.88,2.54,70.104,-8.2255762812,69.9644116862,-1.35421488295,69.22389228019999,0.0,0.0,-0.44011908907999997,3.5947684529800004,1.0
20,2.4418573069111766,8.04,1.5621,63.030100000000004,-4.27964473159,63.101846510799994,-6.492731012829999,63.0764443979,0.0,0.0,-4.54257484595,4.14425762396,-0.5
21,2.676915115306615,7.67,2.2098,71.4502,-7.154284477849999,71.4009368314,7.85271139523,69.2929103922,0.0,0.0,2.4968721168099997,3.86139745226,-0.5
22,2.404941086403457,7.9,2.032,64.2366,-6.7346276496,64.1319406689,-1.8252184708499999,59.3053284172,0.0,0.0,-0.918670846001,3.92024406622,-1.0
23,2.097499060714146,7.79,0.0,54.355999999999995,-0.6398849133250001,54.4763366997,6.91399642556,48.729195017,0.0,0.0,2.41105605898,3.6108573282,1.0
24,2.18778517316158,8.0,1.27,56.13400000000001,-3.7035066306299997,56.4325866027,-10.0542945488,57.91170232179999,0.0,0.0,-4.4457587883,4.72469835767,1.0
25,2.1005817437025964,7.89,1.143,55.753,-4.31085203894,55.8033523852,11.4518346273,49.122216374400004,0.0,0.0,4.09762537478,4.737866077620001,0.0
26,2.6207306652613505,0.97,1.524,69.5325,-5.42302346219,69.4544338698,-4.13570043242,70.1503263153,0.0,0.0,0.85839896657,4.1182813435100005,-1.0
27,2.1690995739827903,7.99,1.016,55.9562,-2.52368587202,52.7775437209,-1.04745381315,52.2243543867,0.0,0.0,-3.2184967696299998,4.29310323259,-1.5
