trialNumber,iteration,time,leftMotorCount,AccelBind.distance[0],E.x,leftMotorPower,deltaLeftMotorCount,deltaAccDispX,deltaEncDispX,rightMotorCount,AccelBind.distance[1],E.y,rightMotorPower,deltaRightMotorCount,deltaAccDispY,deltaEncDispY,pidOut,lidarDistance,deltaLidar
1,1,1520196008,0,3.93E-05,0,0.5,0,3.93E-05,0,0,2.64E-05,0,0.5,0,2.64E-05,0,-0.05,-0.5,-0.5
1,2,1520196008,5,6.60E-05,-9.12E-06,0.600000798,0,2.66E-05,0,13,8.97E-05,0.001059336,0.399999202,0,6.33E-05,0,-0.150000798,-2,-1
1,3,1520196008,27,8.71E-05,-3.04E-06,0.650678055,27,2.12E-05,-3.04E-06,27,0.001520527,0.003178077,0.349321945,27,0.00143086,0.003178077,-0.200678055,-2,-0.5
1,4,1520196008,27,0.000160462,-3.04E-06,0.651223726,0,7.33E-05,0,27,0.004958956,0.003178077,0.348776274,0,0.00343843,0,-0.201223726,-2,0
1,5,1520196008,87,0.000183344,-6.05E-05,0.601771977,60,2.29E-05,-5.74E-05,97,0.010163002,0.010828891,0.398228023,70,0.005204046,0.007650814,-0.151771977,-1.5,0.5
1,6,1520196008,87,0.000274475,-6.05E-05,0.602183712,0,9.11E-05,0,97,0.013233787,0.010828891,0.397816288,0,0.003070785,0,-0.152183712,-1.5,0
1,7,1520196008,135,0.000434055,-9.46E-05,0.652601411,48,0.00015958,-3.41E-05,144,0.020589193,0.016419933,0.347398589,47,0.007355406,0.005591042,-0.202601411,-2,-0.5
1,8,1520196008,254,0.00049379,-0.00022808,0.75316256,56,5.97E-05,-5.78E-05,267,0.029169637,0.030662012,0.24683744,58,0.008580444,0.006709126,-0.30316256,-2.5,-1
1,9,1520196008,254,0.000507865,-0.00022808,0.703979489,63,1.41E-05,-7.57E-05,267,0.033892679,0.030662012,0.296020511,65,0.004723041,0.007532953,-0.253979489,-2.5,0.5
1,10,1520196009,323,0.000505464,-0.000342044,0.604665276,69,-2.40E-06,-0.000113964,340,0.044148937,0.039018527,0.395334724,73,0.010256258,0.008356515,-0.154665276,-1.5,1
1,11,1520196009,396,0.000472594,-0.00053068,0.605081992,73,-3.29E-05,-0.000188636,421,0.055573578,0.048080105,0.394918008,81,0.011424641,0.009061578,-0.155081992,-1.5,0
1,12,1520196009,478,0.000217338,-0.000738767,0.705489383,82,-0.000255257,-0.000208087,506,0.067872445,0.057906548,0.294510617,85,0.012298867,0.009826443,-0.255489383,-2.5,-1
1,13,1520196009,565,-2.57E-05,-0.000944553,0.756174759,87,-0.000243018,-0.000205786,593,0.074159122,0.068145105,0.243825241,87,0.006286677,0.010238557,-0.306174759,-3,-0.5
1,14,1520196009,655,-0.000543914,-0.001182859,0.706983785,90,-0.000518234,-0.000238306,685,0.087151455,0.078853912,0.293016215,92,0.012992333,0.010708807,-0.256983785,-2.5,0.5
1,15,1520196009,746,-0.001234355,-0.00150615,0.657653872,91,-0.000690441,-0.000323291,783,0.100527217,0.089972651,0.342346128,98,0.013375761,0.011118738,-0.207653872,-2,0.5
1,16,1520196009,841,-0.001503276,-0.001901347,0.658192171,95,-0.000268921,-0.000395197,885,0.107417885,0.101560184,0.341807829,102,0.006890669,0.011587534,-0.208192171,-2,0
1,17,1520196009,941,-0.002019267,-0.002332117,0.608733441,100,-0.000515992,-0.00043077,989,0.121457765,0.113558704,0.391266559,104,0.01403988,0.01199852,-0.158733441,-1.5,0.5
1,18,1520196009,1044,-0.002472198,-0.002749717,0.609137736,103,-0.00045293,-0.0004176,1092,0.135857599,0.125675468,0.390862264,103,0.014399834,0.012116764,-0.159137736,-1.5,0
1,19,1520196009,1149,-0.002650416,-0.003237736,0.60954065,105,-0.000178218,-0.000488019,1201,0.143119195,0.138260802,0.39045935,109,0.007261596,0.012585333,-0.15954065,-1.5,0
1,20,1520196009,1257,-0.002970124,-0.003728017,0.609942252,108,-0.000319708,-0.000490281,1310,0.157480289,0.151022742,0.390057748,109,0.014361093,0.01276194,-0.159942252,-1.5,0
1,21,1520196009,1366,-0.003358354,-0.004248291,0.66034897,109,-0.000388231,-0.000520274,1421,0.171858122,0.163960201,0.33965103,111,0.014377834,0.01293746,-0.21034897,-2,-0.5
1,22,1520196009,1474,-0.003558464,-0.004782237,0.610892509,108,-0.00020011,-0.000533946,1531,0.1790456,0.176779294,0.389107491,110,0.007187478,0.012819093,-0.160892509,-1.5,0.5
